Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,58.89,53.41,31.6,40.08,33.72,23.86,20.54,22.2,23.07,16.68,Upgrade
Depreciation & Amortization,6.57,6.24,6.08,5.96,4.81,5.24,4.48,4.04,4.13,2.64,Upgrade
Share-Based Compensation,1.33,1.49,1.41,1.35,1.55,0.93,0.82,0.62,0.55,0.39,Upgrade
Other Operating Activities,-7.04,-6.51,-11.48,4.65,4.78,0.73,0.92,6.78,1.17,13.9,Upgrade
Operating Cash Flow,64.05,58.92,28.76,52.04,44.86,30.76,26.76,33.64,28.92,33.61,Upgrade
Operating Cash Flow Growth,8.71%,104.88%,-44.74%,16.02%,45.81%,14.94%,-20.43%,16.31%,-13.95%,21.95%,Upgrade
Capital Expenditures,-11.79,-5.74,-4.98,-7.82,-2.02,-4.28,-9.57,-5.9,-5.49,-4.6,Upgrade
Acquisitions,0,0,72.85,0,0,1.08,-2.87,0,0,46.98,Upgrade
Change in Investments,-784.54,-383.41,-236.55,-352.14,-450.66,-191.35,-138.45,-94.82,-45.03,-78.18,Upgrade
Other Investing Activities,-8.37,-20.61,-,-8.78,-,-9.1,-,-,-5,-0.65,Upgrade
Investing Cash Flow,-804.7,-409.76,-168.68,-368.74,-452.68,-203.65,-150.88,-100.71,-55.53,-36.45,Upgrade
Dividends Paid,-12.56,-11.55,-10.98,-10.36,-10.24,-10.09,-9.55,-9.52,-9.52,-8.57,Upgrade
Share Issuance / Repurchase,92.38,-1.16,1.95,0.13,-2.45,17.42,-0.04,-0.87,-1.09,0.74,Upgrade
Debt Issued / Paid,132.4,33.48,-227.91,-17.21,-12.24,20.36,66.49,108.82,23.75,-9.86,Upgrade
Other Financing Activities,-97.48,529.57,716.58,491.54,442.97,151.37,69.14,-32.03,11.77,18.29,Upgrade
Financing Cash Flow,114.74,550.34,479.64,464.11,418.04,179.05,126.04,66.41,24.9,0.6,Upgrade
Net Cash Flow,-625.91,199.5,339.72,147.41,10.22,6.16,1.92,-0.67,-1.71,-2.25,Upgrade
Free Cash Flow,52.26,53.18,23.78,44.23,42.84,26.49,17.2,27.74,23.43,29.01,Upgrade
Free Cash Flow Growth,-1.74%,123.64%,-46.23%,3.25%,61.73%,54.02%,-38.01%,18.41%,-19.24%,8.92%,Upgrade
Free Cash Flow Margin,24.21%,28.41%,16.13%,32.48%,35.82%,24.92%,18.13%,31.08%,26.85%,43.40%,Upgrade
Free Cash Flow Per Share,2.47,3.15,1.41,2.91,2.81,1.73,1.19,1.93,1.63,2.02,Upgrade
