Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,72.95,51.49,45.27,47.94,36.6,26.68,21.02,14.31,11.31,10.31,Upgrade
Depreciation & Amortization,15.06,14.45,11.72,10.84,7.88,8.13,7.94,4.44,3.96,4.66,Upgrade
Share-Based Compensation,1.8,1.3,0.77,0.45,0.29,0.95,0.38,0.38,0.38,0.34,Upgrade
Other Operating Activities,-23.99,2.35,5.78,3.59,-2.6,10.38,-2.74,0.67,-2.02,4.94,Upgrade
Operating Cash Flow,65.82,69.6,63.54,62.83,42.18,46.15,27.42,22,17.78,24.66,Upgrade
Operating Cash Flow Growth,-5.42%,9.53%,1.13%,48.97%,-8.62%,68.31%,24.66%,23.74%,-27.92%,7.75%,Upgrade
Capital Expenditures,-5.02,-3.7,-2.46,-4.1,-3.11,-1.27,-0.55,-1.76,-1.18,-1.4,Upgrade
Acquisitions,67.32,27.06,0,0,56.39,0,36.77,276.66,0,0,Upgrade
Change in Investments,-241.99,-485.36,-562.01,-30.39,-65.84,-61.32,-90.06,-264.79,-9.49,-67.34,Upgrade
Other Investing Activities,1,-20.5,2.05,2.43,1.61,6.63,-24.22,0.26,0.64,1.59,Upgrade
Investing Cash Flow,-178.69,-482.5,-562.42,-32.07,-10.96,-55.96,-78.06,10.37,-10.03,-67.15,Upgrade
Dividends Paid,-17.83,-14.72,-12.81,-11.86,-8.79,-7.23,-5.28,-3.49,-2.65,-2.01,Upgrade
Share Issuance / Repurchase,0.9,1.61,0.4,-0.64,36.51,3.6,0.2,27.16,-1.28,-3.32,Upgrade
Debt Issued / Paid,373.51,-95.75,68.08,-3.26,15.45,-18.13,56.72,3.18,2.68,20.7,Upgrade
Other Financing Activities,-259.89,273.09,775.42,-71.32,-21.86,-55.46,59.12,4.84,-19.88,9.5,Upgrade
Financing Cash Flow,96.7,164.22,831.08,-87.08,21.31,-77.22,110.76,31.69,-21.12,24.87,Upgrade
Net Cash Flow,-16.17,-248.68,332.2,-56.32,52.52,-87.02,60.12,64.05,-13.37,-17.61,Upgrade
Free Cash Flow,60.8,65.89,61.08,58.73,39.06,44.88,26.87,20.24,16.6,23.27,Upgrade
Free Cash Flow Growth,-7.72%,7.88%,4.01%,50.33%,-12.96%,67.00%,32.80%,21.91%,-28.65%,8.70%,Upgrade
Free Cash Flow Margin,23.92%,29.63%,35.75%,33.51%,28.21%,38.71%,28.20%,26.99%,23.98%,34.69%,Upgrade
Free Cash Flow Per Share,2.97,3.64,3.65,3.52,2.55,3.56,2.16,2.40,2.83,3.93,Upgrade
