Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,15.65,15.42,10.34,9.01,7.11,5.12,3.99,-5.09,2.67,2.32,Upgrade
Depreciation & Amortization,2.05,1.44,1.38,1.59,1.58,1.47,1.38,1.25,1.45,1.95,Upgrade
Share-Based Compensation,1.6,2.29,1.3,1.06,1.05,0.98,0,0,0,0,Upgrade
Other Operating Activities,-3.4,-3.99,0.25,2.43,3.6,-6.43,5.21,2.67,-0.53,6.45,Upgrade
Operating Cash Flow,15.9,15.16,13.26,14.1,13.34,1.14,10.58,-1.17,3.59,10.71,Upgrade
Operating Cash Flow Growth,4.93%,14.33%,-5.97%,5.70%,1075.07%,-89.27%,-,-,-66.45%,8.50%,Upgrade
Capital Expenditures,-2.91,-6.02,-1.82,-0.43,-2.84,-0.96,-2.06,-1.27,-1.97,-0.47,Upgrade
Acquisitions,0,63.55,0,0,0,0,0,0,0,0,Upgrade
Change in Investments,-234.73,-194.39,-307.64,-19.52,-57.88,-69.53,-94.61,-119.66,-18.75,-45.17,Upgrade
Other Investing Activities,-,-,-6.5,-,-,-9.79,3.59,1.47,2.31,3.47,Upgrade
Investing Cash Flow,-237.65,-136.86,-315.95,-19.95,-60.73,-80.28,-93.08,-119.46,-18.41,-42.17,Upgrade
Dividends Paid,-2.79,-2.53,-2.19,-1.41,-0.34,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,-5.83,-6.33,-7.59,-8.14,-10.3,-16.55,-6.75,115.14,0,0,Upgrade
Debt Issued / Paid,166.27,9.24,-2.98,-23.57,-7.69,-3.14,-9.25,-15.21,5.47,0.13,Upgrade
Other Financing Activities,-16.33,182.2,331.87,61.39,55.23,100.47,76.12,46.77,5.36,11.81,Upgrade
Financing Cash Flow,141.33,182.57,319.11,28.27,36.91,80.78,60.12,146.7,10.83,11.93,Upgrade
Net Cash Flow,-80.42,60.86,16.42,22.42,-10.48,1.64,-22.38,26.07,-3.99,-19.53,Upgrade
Free Cash Flow,12.99,9.14,11.44,13.67,10.5,0.18,8.52,-2.44,1.62,10.24,Upgrade
Free Cash Flow Growth,42.16%,-20.13%,-16.33%,30.25%,5763.69%,-97.90%,-,-,-84.17%,13.33%,Upgrade
Free Cash Flow Margin,16.51%,12.59%,20.89%,30.92%,25.27%,0.49%,25.56%,-8.84%,6.35%,42.69%,Upgrade
Free Cash Flow Per Share,1.30,0.91,1.12,1.27,0.93,0.01,0.66,-0.19,0.12,-,Upgrade
