Year,2022,2021,2020,2019,2018,2017,2016
Net Income,19.82,21.48,4.05,0,0,-0,-0
Depreciation & Amortization,7.71,4.02,9.82,10.34,11.66,0,0
Share-Based Compensation,58.57,74.73,176.92,34.26,21.28,0,0
Other Operating Activities,130.41,78.57,-122.62,51.59,84.08,0,0
Operating Cash Flow,216.51,178.8,68.17,96.19,117.03,0,-0
Operating Cash Flow Growth,21.09%,162.29%,-29.13%,-17.80%,-,-,-
Capital Expenditures,-0.78,0.76,-1.31,-4,-0.87,0,0
Change in Investments,-9.29,-28.87,-4.22,10.13,8.83,0,0
Investing Cash Flow,-10.07,-28.11,-5.53,6.13,7.96,0,0
Dividends Paid,-18.43,-14.53,0,0,0,0,0
Share Issuance / Repurchase,-35.41,15.38,186.6,0.02,0,0,0
Debt Issued / Paid,-4,53.66,-116.2,17.68,-28.74,0,0
Other Financing Activities,-157.23,-305.79,-15.65,-108.56,-125.03,-,-
Financing Cash Flow,-215.07,-251.27,54.76,-90.87,-153.77,0,0
Net Cash Flow,-11.02,-101.96,118.28,11.77,-28.96,0,-0
Free Cash Flow,215.73,179.56,66.86,92.2,116.16,0,-0
Free Cash Flow Growth,20.14%,168.56%,-27.48%,-20.63%,-,-,-
Free Cash Flow Margin,48.31%,33.78%,15.55%,22.14%,30.69%,-,-
Free Cash Flow Per Share,4.92,4.10,1.67,2.57,3.63,-,-
