Year,2022,2021,2020,2019,2018,2015,2014
Net Income,27.91,52.48,17.7,4.58,4.56,2.45,1.98
Depreciation & Amortization,3.5,3.82,1.55,0.99,0.92,0.27,0.25
Share-Based Compensation,0,0,0,0,0.33,0.13,0
Other Operating Activities,62.52,2.92,-127.59,-26.16,-10.38,-8.72,-0.01
Operating Cash Flow,93.93,59.21,-108.34,-20.58,-4.57,-5.82,2.27
Operating Cash Flow Growth,58.63%,-,-,-,-,-,-
Capital Expenditures,1.76,-0.67,-2.29,-1.11,-1.48,-0.1,-0.63
Acquisitions,0,44.07,0,-6.81,0.1,0.15,0.37
Change in Investments,-631.63,18.21,-338.59,-86.61,-99.37,-21.76,-21.02
Other Investing Activities,1.69,-9.12,-0,-0.16,-1.2,-,-
Investing Cash Flow,-628.18,52.48,-340.89,-94.68,-101.95,-21.72,-21.28
Dividends Paid,-9.18,-7.18,-2.44,-2.47,-1.5,-0.61,-0.41
Share Issuance / Repurchase,0.07,0,0,22.12,0,1.77,4.45
Debt Issued / Paid,283.85,-417.71,286.5,51.7,37.14,17.73,2.83
Other Financing Activities,206.23,325.8,223.08,88.92,75.59,7.97,15.53
Financing Cash Flow,480.98,-99.09,507.14,160.27,111.23,26.86,22.39
Net Cash Flow,-53.27,12.6,57.92,45,4.71,-0.68,3.38
Free Cash Flow,95.69,58.54,-110.63,-21.7,-6.05,-5.92,1.64
Free Cash Flow Growth,63.45%,-,-,-,-,-,-
Free Cash Flow Margin,68.06%,32.64%,-123.05%,-56.47%,-23.10%,-62.67%,19.25%
Free Cash Flow Per Share,5.05,3.12,-12.90,-3.33,-0.93,-2.88,1.17
