Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,289.69,18.58,-187.54,-30.75,-128.31,-153.84,-145.97,-5,-32.89,7.31,Upgrade
Depreciation & Amortization,43.83,44.29,54.03,62.15,54.76,46.21,29.88,21.58,10.26,1.66,Upgrade
Share-Based Compensation,66.36,66.76,61.53,73.64,75.09,70.98,69.24,51.22,37.15,6.49,Upgrade
Other Operating Activities,-24.31,110.25,490.01,-375.69,-641.28,-536.74,47.39,6.94,35.41,-14.32,Upgrade
Operating Cash Flow,375.57,239.87,418.03,-270.64,-639.74,-573.39,0.55,74.74,49.92,1.14,Upgrade
Operating Cash Flow Growth,56.57%,-42.62%,-,-,-,-,-99.27%,49.72%,4282.79%,-,Upgrade
Capital Expenditures,-69.48,-34.41,-31.15,-50.67,-52.98,-44.62,-51.84,-39.39,-20.57,-10.44,Upgrade
Acquisitions,0,522.89,0,0,0,0,0,0,-109.46,0,Upgrade
Change in Investments,"-2,735.9",-930.14,596.52,703.88,929.97,"1,043.19",-274.04,"-2,333.34","-1,094.07","-1,105.46",Upgrade
Other Investing Activities,-4.42,-12.75,0.4,0.56,1.75,-,-,-33.97,-32.97,-4.72,Upgrade
Investing Cash Flow,"-2,809.8",-454.41,565.77,653.77,878.74,998.57,-325.88,"-2,406.7","-1,257.08","-1,120.62",Upgrade
Share Issuance / Repurchase,0,0,0,0,0,20.17,-1.03,16.76,831.76,1.87,Upgrade
Debt Issued / Paid,-452.34,-767.72,-783.29,-513.29,-227.76,-485.91,315.67,"2,068.12","1,131.01","1,114.14",Upgrade
Other Financing Activities,"3,247.47","1,117.36",-59.15,-26.77,-11.47,-8.57,-0.16,0.83,64.87,0.22,Upgrade
Financing Cash Flow,"2,795.13",349.64,-842.44,-540.06,-239.23,-474.31,314.48,"2,085.71","2,027.64","1,116.22",Upgrade
Net Cash Flow,360.9,135.1,141.36,-156.94,-0.23,-49.12,-10.85,-246.25,820.48,-3.25,Upgrade
Free Cash Flow,306.09,205.46,386.88,-321.31,-692.72,-618,-51.3,35.35,29.35,-9.3,Upgrade
Free Cash Flow Growth,48.98%,-46.89%,-,-,-,-,-,20.46%,-,-,Upgrade
Free Cash Flow Margin,25.78%,25.10%,121.63%,-42.36%,-99.70%,-107.56%,-10.24%,8.22%,13.90%,-9.49%,Upgrade
Free Cash Flow Per Share,2.96,2.11,4.96,-3.68,-8.19,-7.55,-0.66,0.47,1.94,-0.90,Upgrade
