Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Net Income,17.76,21.27,12.73,9.46,1.26,2.5,2.57,2.81,1.78,1.05,Upgrade
Depreciation & Amortization,3.81,3.85,3.58,3.06,0.64,1.08,1.18,1.44,1.17,1.14,Upgrade
Share-Based Compensation,0.86,0.81,0.54,0.49,0.13,0.11,0.08,0.16,0.11,0.08,Upgrade
Other Operating Activities,6.86,-4.32,6.94,-0.18,1.79,-1.78,1.86,1.38,4.77,4.49,Upgrade
Operating Cash Flow,29.29,21.6,23.79,12.84,3.82,1.91,5.7,5.78,7.84,6.74,Upgrade
Operating Cash Flow Growth,35.60%,-9.19%,85.30%,235.67%,99.90%,-66.43%,-1.37%,-26.28%,16.21%,-25.72%,Upgrade
Capital Expenditures,-3.59,-3.74,-2.19,-6.47,-0.59,-0.59,-0.96,-0.33,-0.33,-0.55,Upgrade
Acquisitions,0,0,1.13,-8.14,48.13,-18.97,20.66,0,0,0,Upgrade
Change in Investments,-117.4,-160.02,-63.53,-51.76,-64.91,35.74,28.31,-0.71,-24.05,-37.39,Upgrade
Other Investing Activities,1.8,0.56,2.78,3.04,0.42,-2.39,1.26,1.32,-0.66,-0.45,Upgrade
Investing Cash Flow,-119.19,-163.2,-61.82,-63.33,-16.95,13.79,49.27,0.29,-25.03,-38.38,Upgrade
Dividends Paid,-2.74,-2.51,-2.37,-2.2,0,-0.84,-0.63,-0.42,-0.21,-0.1,Upgrade
Share Issuance / Repurchase,-1.69,-7.9,-2.82,3.31,0.09,0.1,0.29,0.3,0,0,Upgrade
Debt Issued / Paid,59.57,-12.11,7.18,19.95,36.01,50.03,8.4,0,8.89,0.75,Upgrade
Other Financing Activities,22.44,92.38,99.65,39.5,-11.7,-33.36,-76.86,6.5,2.35,25.34,Upgrade
Financing Cash Flow,77.57,69.85,101.63,60.56,24.41,15.93,-68.8,6.38,11.03,25.98,Upgrade
Net Cash Flow,-12.33,-71.75,63.6,10.06,11.28,31.63,-13.83,12.44,-6.17,-5.66,Upgrade
Free Cash Flow,25.7,17.86,21.59,6.37,3.23,1.33,4.74,5.45,7.51,6.19,Upgrade
Free Cash Flow Growth,43.91%,-17.30%,239.26%,96.82%,144.08%,-72.03%,-13.02%,-27.48%,21.25%,-31.71%,Upgrade
Free Cash Flow Margin,39.34%,25.70%,35.43%,11.58%,27.84%,4.96%,19.81%,24.96%,35.32%,32.31%,Upgrade
Free Cash Flow Per Share,2.45,1.70,1.94,0.56,0.29,0.25,0.90,1.04,1.45,1.20,Upgrade
