Year,2022,2021,2020,2019,2018,2017
Net Income,41.8,39.98,25.82,16.9,12.77,7.11
Depreciation & Amortization,1.43,1.21,1.89,2.35,1.09,0.98
Share-Based Compensation,2.42,3.21,1.25,1.1,1.07,1.28
Other Operating Activities,5.74,87.68,-23.51,-47.55,13.38,25.44
Operating Cash Flow,51.39,132.08,5.46,-27.21,28.3,34.81
Operating Cash Flow Growth,-61.09%,2320.30%,-,-,-18.71%,-
Capital Expenditures,-1.55,-0.02,-0.27,-0.3,-1.74,-1.42
Change in Investments,-197.01,-206.4,-385.25,-187.73,-107.89,-132.97
Other Investing Activities,0.11,-31.81,-,0.05,0.36,1.03
Investing Cash Flow,-198.46,-238.23,-385.51,-187.98,-109.26,-133.37
Dividends Paid,-3.09,-1.38,0,0,0,0
Share Issuance / Repurchase,1.24,0.97,-2.8,0.22,20.96,1.16
Debt Issued / Paid,85,-1.95,-11.77,24.89,-7.93,-2.4
Other Financing Activities,-39.07,145.01,426.71,270.18,50.34,113.98
Financing Cash Flow,44.09,142.64,412.14,295.29,63.37,112.73
Net Cash Flow,-102.98,36.49,32.09,80.1,-17.59,14.18
Free Cash Flow,49.84,132.05,5.19,-27.52,26.57,33.39
Free Cash Flow Growth,-62.26%,2444.35%,-,-,-20.44%,-
Free Cash Flow Margin,30.51%,80.53%,4.22%,-30.83%,36.96%,54.38%
Free Cash Flow Per Share,3.55,9.57,0.38,-2.00,2.19,2.96
