Year,2022,2021,2020,2019,2018,2017
Net Income,17.63,33.19,26.98,10.21,31.38,37.53
Depreciation & Amortization,3.36,4.55,4.05,3.8,2.2,6.43
Share-Based Compensation,17.04,3.65,4.52,5.39,12.36,6.69
Other Operating Activities,-5.53,9.86,-9.31,13.65,49.48,1.5
Operating Cash Flow,32.5,51.25,26.24,33.05,95.41,52.15
Operating Cash Flow Growth,-36.59%,95.30%,-20.61%,-65.36%,82.94%,-
Capital Expenditures,-0.13,-0.69,-0.69,-2.22,-7.81,-0.86
Change in Investments,-12.86,20.62,-3.91,3.76,-42.19,28.75
Other Investing Activities,-10.5,-40.56,-12.5,-,-115.72,-0.17
Investing Cash Flow,-23.49,-20.63,-17.09,1.53,-165.71,27.73
Dividends Paid,-25.78,-25.56,-23.1,-22.86,-29.24,-29
Share Issuance / Repurchase,-8.86,-10.2,-2.03,-6.62,-7.16,-18.98
Debt Issued / Paid,23.42,10.68,-0.83,13.38,-4.4,0
Other Financing Activities,7.32,0.89,3.52,-,-,-
Financing Cash Flow,-3.9,-24.19,-22.44,-16.1,-40.8,-47.98
Net Cash Flow,1.87,5.7,-10.64,20.11,-108.87,32.17
Free Cash Flow,32.37,50.55,25.55,30.83,87.61,51.29
Free Cash Flow Growth,-35.97%,97.84%,-17.11%,-64.81%,70.79%,-
Free Cash Flow Margin,22.29%,30.70%,20.98%,41.95%,80.17%,35.57%
Free Cash Flow Per Share,1.29,1.97,1.04,1.22,3.46,-
