Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,-53.1,8.42,40.39,26.4,31.08,15.99,4.55,17.46,13.77
Depreciation & Amortization,1.18,1.17,5.93,2.25,4,0.54,0.5,0.58,0.42
Share-Based Compensation,0.34,2.87,2.67,2.02,1.63,0.82,0,0,0
Other Operating Activities,21.19,16.72,2.02,-5,-15.76,1.07,2.26,-0.85,-3.79
Operating Cash Flow,-30.39,29.17,51.01,25.67,20.96,18.43,7.31,17.18,10.41
Operating Cash Flow Growth,-,-42.82%,98.75%,22.48%,13.73%,152.16%,-57.46%,65.00%,-
Capital Expenditures,-0.5,-0.7,-0.54,-1.29,-1.55,-1.33,-0.55,-0.53,-0.62
Acquisitions,0,0,-0.7,0,27.49,0,0,0,0.34
Change in Investments,25.54,-47.46,1.45,-29.17,-2.55,-90.61,-3.04,-23.85,-2.81
Other Investing Activities,-,-,-,-,0.02,0.08,0.07,-,0.04
Investing Cash Flow,25.05,-48.15,0.2,-30.46,23.4,-91.86,-3.51,-24.39,-3.05
Share Issuance / Repurchase,-4.95,-4.8,-12.27,-2.03,-3,85.11,0,0,0
Other Financing Activities,-13.33,-6.67,-,-,-,-2.4,-,-,-
Financing Cash Flow,-18.28,-11.47,-12.27,-2.03,-3,82.71,0,0,0
Net Cash Flow,-23.62,-30.45,38.95,-6.82,41.36,9.28,3.8,-7.21,7.36
Free Cash Flow,-30.88,28.47,50.47,24.38,19.4,17.09,6.76,16.65,9.79
Free Cash Flow Growth,-,-43.58%,107.04%,25.62%,13.53%,152.86%,-59.40%,70.03%,-
Free Cash Flow Margin,-9.52%,8.79%,16.47%,9.00%,9.14%,9.04%,4.13%,11.42%,7.11%
Free Cash Flow Per Share,-1.45,1.33,2.32,1.10,0.87,0.77,0.29,-,-
