Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,36.54,15.94,16.13,-5.12,-37.46,-22.01,5.4,-1.69,-31.18,8.59,Upgrade
Depreciation & Amortization,14.89,15.1,16.83,17.25,18.41,16.92,16.93,16,14.2,14.3,Upgrade
Share-Based Compensation,3.48,1.25,0.14,0.25,0.96,1.99,2.97,9.63,4.53,0.61,Upgrade
Other Operating Activities,-23.57,-12.06,-11.08,-9.54,21.62,5.53,34.66,-12.57,-5.41,0.13,Upgrade
Operating Cash Flow,31.34,20.23,22.01,2.84,3.52,2.43,59.96,43.92,26.63,23.62,Upgrade
Operating Cash Flow Growth,54.91%,-8.11%,674.87%,-19.29%,45.04%,-95.95%,36.51%,64.95%,12.72%,10.77%,Upgrade
Capital Expenditures,-17.87,-10.07,-7.09,-4.18,-5.63,-7.26,-14.29,-18.67,-16.96,-9.24,Upgrade
Acquisitions,0,0,0,1.45,0,0,0,5,-54.86,0,Upgrade
Other Investing Activities,0.1,0.16,-,0.15,-0.22,-1.53,-,-,-,-,Upgrade
Investing Cash Flow,-17.77,-9.92,-7.09,-2.57,-5.85,-8.79,-14.29,-13.67,-71.82,-9.24,Upgrade
Dividends Paid,0,0,0,0,0,-7.54,-7.52,0,0,0,Upgrade
Share Issuance / Repurchase,0,0,0,0,0,0,-6.01,77.01,0,0,Upgrade
Debt Issued / Paid,-23.16,-47.23,23.98,-1.93,-0.52,0,-9,141.57,48.96,-12.12,Upgrade
Other Financing Activities,-,-,-,-,-,-0.34,0.61,-247.98,-0.42,0.01,Upgrade
Financing Cash Flow,-23.16,-47.23,23.98,-1.93,-0.52,-7.88,-21.92,-29.4,48.53,-12.11,Upgrade
Net Cash Flow,-9.65,-36.92,38.92,-1.61,-2.91,-13.75,23.35,0.67,3.24,2.31,Upgrade
Free Cash Flow,13.47,10.16,14.92,-1.33,-2.11,-4.84,45.66,25.25,9.67,14.38,Upgrade
Free Cash Flow Growth,32.63%,-31.94%,-,-,-,-,80.83%,161.11%,-32.76%,39.93%,Upgrade
Free Cash Flow Margin,2.83%,2.71%,4.78%,-0.48%,-0.83%,-2.16%,14.79%,6.75%,3.71%,7.32%,Upgrade
Free Cash Flow Per Share,1.19,0.90,1.33,-0.12,-0.19,-0.43,4.13,2.24,0.86,-,Upgrade
