Year,2022,2021,2020,2019,2018,2017,2016
Net Income,26.99,20.69,13.73,17.32,14.49,5.26,5.91
Depreciation & Amortization,4.02,3.86,3.7,2.83,2.11,1.61,0.9
Share-Based Compensation,1.02,1.41,1.46,1.15,1.18,0.42,0.33
Other Operating Activities,7.58,-15.53,-8.88,-14.35,-11.54,2.03,-0.82
Operating Cash Flow,39.61,10.43,10,6.96,6.24,9.33,6.32
Operating Cash Flow Growth,279.83%,4.32%,43.72%,11.53%,-33.14%,47.64%,-
Capital Expenditures,-0.84,-1.26,-2.56,3.56,-1.01,-0.37,-0.21
Acquisitions,18.42,0,-8.43,32.58,-12.97,85,0
Change in Investments,36.36,-59.52,-63.41,-35.67,0.63,8.03,-32.51
Other Investing Activities,-,0.42,0.74,0.46,2.11,-2.25,-0.01
Investing Cash Flow,53.94,-60.36,-73.66,0.93,-11.25,90.41,-32.73
Dividends Paid,-2.02,0,0,0,0,0,0
Share Issuance / Repurchase,-17.96,-11.55,-18.26,-10.96,66.76,-0.02,-0.53
Debt Issued / Paid,0,-5,66.8,0,-6,-9.9,0
Other Financing Activities,-276.45,146.84,19.07,-25.13,17.98,31.35,47.46
Financing Cash Flow,-296.42,130.29,67.61,-36.08,78.74,21.43,46.93
Net Cash Flow,-202.87,80.36,3.95,-28.2,73.73,121.17,20.51
Free Cash Flow,38.77,9.17,7.44,10.52,5.22,8.96,6.1
Free Cash Flow Growth,322.97%,23.17%,-29.25%,101.34%,-41.70%,46.79%,-
Free Cash Flow Margin,37.66%,10.96%,9.70%,13.99%,9.14%,20.24%,22.35%
Free Cash Flow Per Share,2.95,0.84,0.62,0.89,0.54,1.37,1.12
