Year,2022,2021,2020,2019
Net Income,1.75,0.52,0.75,1.06
Depreciation & Amortization,0.43,0.44,0.43,0.42
Share-Based Compensation,0.3,0.2,0,0
Other Operating Activities,0.65,0.6,0.73,0.62
Operating Cash Flow,3.13,1.76,1.91,2.1
Operating Cash Flow Growth,78.09%,-8.06%,-8.89%,-
Capital Expenditures,-0.38,-0.14,-0.81,-0.07
Change in Investments,-72.05,-52.66,-29.1,-20.45
Other Investing Activities,0.24,-,-,-0.88
Investing Cash Flow,-72.18,-52.8,-29.91,-21.4
Share Issuance / Repurchase,0,30.89,0,0
Debt Issued / Paid,34.92,-3.2,-0.37,7.6
Other Financing Activities,21.14,37.19,30.92,6.56
Financing Cash Flow,56.07,64.88,30.54,14.17
Net Cash Flow,-12.99,13.84,2.54,-5.14
Free Cash Flow,2.75,1.62,1.11,2.02
Free Cash Flow Growth,69.88%,46.61%,-45.42%,-
Free Cash Flow Margin,23.04%,16.06%,11.80%,22.88%
Free Cash Flow Per Share,0.91,0.54,0.34,-
