Year,2022,2021,2020,2019
Net Income,-2.56,-1.09,1.59,1.83
Depreciation & Amortization,0.06,0.06,0.05,0.06
Other Operating Activities,-4.16,0.65,-1.18,-3.27
Operating Cash Flow,-6.66,-0.38,0.47,-1.38
Capital Expenditures,-0.03,-0.02,0,0.01
Change in Investments,0,-5.5,0,0
Investing Cash Flow,-0.03,-5.52,0,0.01
Share Issuance / Repurchase,0,16.91,0,0
Debt Issued / Paid,-0.17,-1.28,0.18,1.44
Other Financing Activities,-,0.77,-0.77,-
Financing Cash Flow,-0.17,16.4,-0.59,1.44
Net Cash Flow,-6.96,10.64,-0.11,0.09
Free Cash Flow,-6.7,-0.4,0.47,-1.36
Free Cash Flow Margin,-4150.01%,-17.80%,12.94%,-34.41%
Free Cash Flow Per Share,-2.82,-0.17,0.23,-0.68
