Year,2022,2021,2020,2019
Net Income,-0.78,0.24,1.03,0.39
Depreciation & Amortization,0.73,0.45,0.22,0.17
Share-Based Compensation,0.33,0.15,0,0
Other Operating Activities,-2.69,-6.13,-3.24,0.31
Operating Cash Flow,-2.41,-5.29,-1.99,0.87
Capital Expenditures,-0.63,-0.39,-0.18,-0.12
Change in Investments,-9.97,0,0,0
Other Investing Activities,-1.05,-,-,-
Investing Cash Flow,-11.65,-0.39,-0.18,-0.12
Share Issuance / Repurchase,-2.03,39.6,0,0
Debt Issued / Paid,0,-1.8,0.42,-0.35
Other Financing Activities,-0.89,-0.54,-0.04,0.03
Financing Cash Flow,-2.91,37.26,0.38,-0.33
Net Cash Flow,-16.97,31.58,-1.79,0.43
Free Cash Flow,-3.04,-5.68,-2.17,0.75
Free Cash Flow Margin,-5.16%,-14.31%,-5.74%,2.49%
Free Cash Flow Per Share,-0.16,-0.52,-0.22,-
