Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,39.02,48.68,24.7,22.42,9.66,1.5,9.1,7.56,4.99,6.41
Depreciation & Amortization,3.17,3.45,3.2,2.88,1.03,0.45,0.42,0.51,0.63,0.66
Share-Based Compensation,1.36,1.6,1.22,1.26,2.08,1.06,0.78,0.43,0.25,0.31
Other Operating Activities,-67.26,62.64,-9.94,-111.92,20.82,-19.63,-4,-17.84,-12.85,1.01
Operating Cash Flow,-23.72,116.36,19.18,-85.35,33.59,-16.61,6.3,-9.35,-6.98,8.38
Operating Cash Flow Growth,-,506.76%,-,-,-,-,-,-,-,-
Capital Expenditures,-0.55,-0.48,2.87,-1.58,-4.24,-1.07,-0.81,0.2,-0.3,-0.27
Acquisitions,0,0,63.48,0,12.05,0,0,0,-3,0
Change in Investments,-248.96,-43.13,-333.71,49.41,-126.36,12.94,-142.41,-34.51,-63.69,-41.38
Other Investing Activities,0.37,-36.67,1.82,0.13,3.42,-,0.37,0.36,-4.21,-13.75
Investing Cash Flow,-249.14,-80.29,-265.54,47.96,-115.13,11.86,-142.85,-33.95,-71.2,-55.39
Dividends Paid,-7.85,-5.07,-4.04,-3.51,-1.24,0,0,0,0,0
Share Issuance / Repurchase,-9.57,-0.46,-1.44,-7.84,0,0,21.56,0,0,-2.9
Debt Issued / Paid,15,-10,29.39,-115,55,15,6.25,13.92,5.34,22.04
Other Financing Activities,-4.54,117.14,398.62,159.57,50.44,-7.56,88.66,55.63,101.98,-40.62
Financing Cash Flow,-6.96,101.61,422.53,33.22,104.19,7.44,116.47,69.55,107.32,-21.48
Net Cash Flow,-279.82,137.69,176.17,-4.17,22.65,2.69,-20.07,26.25,29.14,-68.49
Free Cash Flow,-24.27,115.88,22.05,-86.94,29.34,-17.69,5.49,-9.15,-7.29,8.11
Free Cash Flow Growth,-,425.61%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-20.54%,85.89%,20.40%,-95.26%,45.63%,-44.32%,11.74%,-21.77%,-20.26%,22.80%
Free Cash Flow Per Share,-1.10,5.24,1.09,-4.86,2.21,-1.57,0.59,-1.07,-0.86,0.94
