Year,2022,2021,2020,2019,2018,2017,2016
Net Income,21.7,20.61,24.53,8.01,4.27,-0.27,-0.54
Depreciation & Amortization,2.01,1.26,1.12,1.67,2.22,2.45,2.42
Share-Based Compensation,2.56,2.9,2.54,2.29,1.86,1.3,1.02
Other Operating Activities,22.01,137.75,-121.51,-33.48,8.07,-11.2,13.36
Operating Cash Flow,48.28,162.52,-93.32,-21.51,17.8,-5.43,19.11
Operating Cash Flow Growth,-70.29%,-,-,-,-,-,-
Capital Expenditures,-2.97,-2.11,-1.2,-0.42,-0.71,-0.5,-1.82
Acquisitions,0.13,121,-61.32,0,0,-1,0
Change in Investments,-555.96,-161.91,-393.51,-115.96,-62.36,-100.55,-91.15
Other Investing Activities,-,-,-,-,-,-,-3.06
Investing Cash Flow,-558.8,-43.03,-456.02,-116.38,-63.07,-102.05,-96.04
Share Issuance / Repurchase,-0.7,1.21,-0.64,-0.85,34.27,5.26,2.53
Debt Issued / Paid,121.19,-96.27,157.28,-5,-20.44,-10.89,16.33
Other Financing Activities,199.56,206.57,470.05,149.03,95.3,59.93,41.12
Financing Cash Flow,320.05,111.5,626.69,143.17,109.13,54.3,59.98
Net Cash Flow,-190.47,230.99,77.35,5.28,63.86,-53.18,-16.95
Free Cash Flow,45.31,160.41,-94.51,-21.93,17.09,-5.93,17.28
Free Cash Flow Growth,-71.75%,-,-,-,-,-,-
Free Cash Flow Margin,41.98%,168.13%,-102.07%,-34.28%,29.65%,-10.88%,32.37%
Free Cash Flow Per Share,4.77,19.97,-11.89,-2.75,2.14,-0.80,-
