Year,2022,2021,2020,2019,2018,2017
Net Income,1.15,5.85,1.77,0.26,1.73,5.19
Depreciation & Amortization,1.33,1.21,0.98,0.7,0.58,0.42
Other Operating Activities,-3.05,0.16,-1.09,-0.09,0.69,-0.42
Operating Cash Flow,-0.58,7.22,1.66,0.88,3,5.18
Operating Cash Flow Growth,-,334.51%,89.71%,-70.83%,-42.05%,-
Capital Expenditures,-0.01,-0.08,-0.56,-0.05,-0.32,-0.26
Acquisitions,-0.51,-1.12,0,-1.21,-2.28,-0.21
Change in Investments,-3.2,-0.01,2.08,-0.52,0.26,-3.54
Other Investing Activities,-,-,-0.22,-,-,-
Investing Cash Flow,-3.73,-1.2,1.3,-1.78,-2.33,-4.01
Share Issuance / Repurchase,2.98,0,0,0,0,0
Debt Issued / Paid,-0.65,-0.03,0.29,-0.11,0.11,0.08
Financing Cash Flow,2.34,-0.03,0.29,-0.11,0.11,0.08
Net Cash Flow,-2.16,6.26,3.33,-1.04,0.79,1.28
Free Cash Flow,-0.59,7.14,1.1,0.83,2.68,4.92
Free Cash Flow Growth,-,547.93%,33.50%,-69.24%,-45.46%,-
Free Cash Flow Margin,-1.57%,17.90%,4.12%,3.06%,9.35%,15.37%
Free Cash Flow Per Share,-0.01,0.19,0.03,0.03,0.09,0.17
