Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,15.68,30.09,31.69,30.84,57.3,34.45,31.33,-2.83,19.54,19.03,Upgrade
Other Operating Activities,56.31,-120.29,-96.28,-125.82,-26.23,-27.28,2.79,-6.18,-159.31,-32.37,Upgrade
Operating Cash Flow,71.99,-90.19,-64.6,-94.98,31.07,7.17,34.12,-9.01,-139.76,-13.34,Upgrade
Operating Cash Flow Growth,-,-,-,-,333.42%,-78.99%,-,-,-,-,Upgrade
Dividends Paid,-33.14,-29.8,-31.74,-33.18,-28.95,-26.38,-25.99,-21.28,-21.19,-17.38,Upgrade
Share Issuance / Repurchase,0.13,37.49,0,0,0,30.29,0,43.98,0,0,Upgrade
Debt Issued / Paid,-34.89,91.78,86.15,123.92,-5,0,-2,-3.5,80.5,-31.25,Upgrade
Other Financing Activities,-0.58,-2.46,-1.43,-1.94,-2.32,-1.03,-,-3.57,-0.81,-1.25,Upgrade
Financing Cash Flow,-68.49,97.01,52.98,88.79,-36.28,2.87,-27.99,15.63,58.5,-49.88,Upgrade
Net Cash Flow,3.8,6.52,-11.6,-6.19,-5.2,10.04,6.13,6.63,-81.26,-63.22,Upgrade
Free Cash Flow,71.99,-90.19,-64.6,-94.98,31.07,7.17,34.12,-9.01,-139.76,-13.34,Upgrade
Free Cash Flow Growth,-,-,-,-,333.42%,-78.99%,-,-,-,-,Upgrade
Free Cash Flow Margin,82.25%,-125.02%,-104.70%,-141.60%,49.13%,13.08%,63.36%,-19.13%,-372.24%,-35.47%,Upgrade
Free Cash Flow Per Share,3.10,-4.26,-3.14,-4.62,1.51,0.37,1.86,-0.59,-9.33,-0.89,Upgrade
