Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,-124.31,-199.79,-304.15,-451.76,-164.62,-202.13,-182.13,-196.17
Depreciation & Amortization,4.46,11.11,18.63,36.48,25.29,5.77,4.64,3.65
Share-Based Compensation,6.58,17.36,-4.33,6.39,130.66,107.77,4.82,13.22
Other Operating Activities,-41.32,-123.27,182.34,208.06,-64.16,60.49,-66.46,20.45
Operating Cash Flow,-154.6,-294.59,-107.5,-200.84,-72.83,-28.1,-239.13,-158.86
Capital Expenditures,-1.62,-3.01,3.62,-16.36,-41.84,-18.82,-4.35,-4.86
Acquisitions,0,0,-13.24,-24.58,-109.57,0,0,0
Change in Investments,2.1,41.21,7.74,-6.52,-172.03,0,0,0
Other Investing Activities,-40.41,-1.69,-89.38,-,-,-,-,-
Investing Cash Flow,-39.93,36.51,-91.27,-47.46,-323.44,-18.82,-4.35,-4.86
Share Issuance / Repurchase,0.14,0,0.12,-124.6,-69.6,"1,368.47",0,0
Debt Issued / Paid,71.63,23.38,98.48,-70,130,0,0,0
Other Financing Activities,-8.7,-,-,-3.44,-,243.43,243.48,163.71
Financing Cash Flow,63.07,23.38,98.6,-198.03,60.4,"1,611.9",243.48,163.71
Net Cash Flow,-98.19,-245.28,-134.2,-436.62,-273.81,"1,543.81",0,0
Free Cash Flow,-156.21,-297.6,-103.88,-217.19,-114.66,-46.92,-243.48,-163.71
Free Cash Flow Margin,-15.78%,-36.97%,-17.73%,-15.13%,-5.97%,-3.25%,-68.32%,-97.23%
Free Cash Flow Per Share,-7.37,-14.05,-4.91,-10.33,-5.50,-2.65,-14.09,-9.48
