Year,2022,2021,2020,2019
Net Income,4.18,1.75,3.55,3.73
Depreciation & Amortization,0.34,0.47,0.58,0.4
Share-Based Compensation,1.12,0.8,0.38,0.3
Other Operating Activities,0.13,2.21,-1.06,0.05
Operating Cash Flow,5.77,5.23,3.44,4.48
Operating Cash Flow Growth,10.37%,51.74%,-23.16%,-
Capital Expenditures,-1.74,-1.31,-0.43,-0.31
Change in Investments,-93.27,-21.67,22.06,-6.46
Other Investing Activities,-2.55,0.19,0.06,0.16
Investing Cash Flow,-97.56,-22.79,21.69,-6.61
Dividends Paid,-0.89,-0.86,-0.83,-0.84
Share Issuance / Repurchase,-0.13,37.5,-0.11,-0.87
Debt Issued / Paid,6.59,-34.95,2,2.5
Other Financing Activities,60.93,17.45,28.08,-1.06
Financing Cash Flow,66.5,19.14,29.13,-0.27
Net Cash Flow,-25.29,1.58,54.27,-2.4
Free Cash Flow,4.03,3.92,3.01,4.18
Free Cash Flow Growth,2.65%,30.09%,-27.81%,-
Free Cash Flow Margin,24.52%,30.09%,23.92%,33.10%
Free Cash Flow Per Share,0.54,0.53,0.93,-
