Year,2022,2021,2020
Net Income,20.14,-70.59,7.69
Depreciation & Amortization,0.69,1.03,1.27
Share-Based Compensation,0.52,0.29,0.19
Other Operating Activities,8.19,-0.35,0.82
Operating Cash Flow,29.54,22.05,13.1
Operating Cash Flow Growth,33.95%,68.30%,-
Capital Expenditures,-0.67,1.02,-0.35
Change in Investments,-269.93,-345.38,-178.43
Other Investing Activities,-,-15,-
Investing Cash Flow,-270.6,-359.36,-178.78
Dividends Paid,0,-2.08,-3.13
Share Issuance / Repurchase,0.1,39.83,0.02
Debt Issued / Paid,10,0,-75
Other Financing Activities,238.9,298.06,255.78
Financing Cash Flow,249,335.81,177.67
Net Cash Flow,7.94,-1.51,11.99
Free Cash Flow,28.86,23.07,12.76
Free Cash Flow Growth,25.11%,80.87%,-
Free Cash Flow Margin,43.47%,36.41%,27.46%
Free Cash Flow Per Share,1.44,1.15,-
