Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,292.9,231.13,171.57,171.96,107.93,22.05,64,-27.79,-48.91,-55.18,Upgrade
Depreciation & Amortization,11.87,11.23,9.93,9.3,7.81,6.66,5.66,4.86,8.08,8.12,Upgrade
Share-Based Compensation,15.43,16.68,11.12,13.03,12.56,9.48,6.85,8.17,9.18,10.37,Upgrade
Other Operating Activities,-6.8,66.68,59.99,13.86,17.57,29.57,-4.57,56.22,10.68,0.39,Upgrade
Operating Cash Flow,313.39,325.72,252.6,208.15,145.86,67.76,71.94,41.46,-20.97,-36.31,Upgrade
Operating Cash Flow Growth,-3.78%,28.95%,21.35%,42.70%,115.25%,-5.81%,73.51%,-,-,-,Upgrade
Capital Expenditures,-10.57,-12.24,-12.16,-9.96,-8.06,-8.51,-11.47,-6.14,-8.22,-6.69,Upgrade
Change in Investments,-279.21,-361.94,-617.4,-184.4,-212.59,-84.56,-68.32,-224.03,76.3,-413.26,Upgrade
Investing Cash Flow,-289.79,-374.18,-629.55,-194.36,-220.65,-93.07,-79.79,-230.17,68.08,-419.95,Upgrade
Share Issuance / Repurchase,-50.62,4.7,228.56,21.75,92.34,7.29,0.53,0.42,1.1,27.91,Upgrade
Debt Issued / Paid,0,-1.11,243.21,-1.5,-1.73,-1.95,-1.5,148.13,0,0,Upgrade
Other Financing Activities,-5.21,-5.43,-8.96,-18.25,-9.72,-8.58,-0.76,-5.54,-1.12,-1.58,Upgrade
Financing Cash Flow,-55.83,-1.83,462.8,2,80.89,-3.24,-1.72,143,-0.02,26.33,Upgrade
Net Cash Flow,-32.22,-50.29,85.85,15.8,6.1,-28.55,-9.57,-45.7,47.09,-429.93,Upgrade
Free Cash Flow,302.82,313.48,240.44,198.19,137.8,59.25,60.47,35.33,-29.19,-43,Upgrade
Free Cash Flow Growth,-3.40%,30.38%,21.31%,43.83%,132.56%,-2.02%,71.18%,-,-,-,Upgrade
Free Cash Flow Margin,57.86%,64.63%,55.49%,52.33%,50.10%,32.42%,48.84%,65.90%,-151.84%,-606.62%,Upgrade
Free Cash Flow Per Share,3.57,3.66,3.08,2.93,2.12,0.99,1.02,0.60,-0.50,-0.77,Upgrade
