Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,120.51,118.53,81.44,91.96,82.41,68.05,57.79,57.49,58.07,54.96,Upgrade
Depreciation & Amortization,19.09,24,31.08,35.27,32.82,31.97,28.4,24.48,19.92,19.35,Upgrade
Share-Based Compensation,3.59,4.21,3.29,2.77,3.55,2.96,2.88,3.84,3.18,2.9,Upgrade
Other Operating Activities,32.35,20.01,38.68,34.61,40.9,36.72,8.99,14.8,-8.82,9.84,Upgrade
Operating Cash Flow,175.53,166.76,154.49,164.61,159.7,139.7,98.06,100.61,72.35,87.05,Upgrade
Operating Cash Flow Growth,5.26%,7.94%,-6.14%,3.08%,14.31%,42.46%,-2.53%,39.06%,-16.88%,-6.60%,Upgrade
Capital Expenditures,4.38,0.16,23.59,-7.11,-23.95,-49.27,-39.04,-64.01,-35.56,-28.36,Upgrade
Acquisitions,0,0,0,0,0,0,2.9,0.42,0.57,0,Upgrade
Change in Investments,-783.8,-603.23,-617.5,-337.65,-444.98,-438.08,-275.42,-323.8,-105.86,-206.56,Upgrade
Other Investing Activities,-5.46,4.52,11.26,10.85,10.98,2.7,1.7,5.77,12.02,3.52,Upgrade
Investing Cash Flow,-784.87,-598.56,-582.66,-333.92,-457.95,-484.64,-309.85,-381.61,-128.83,-231.4,Upgrade
Dividends Paid,-32.1,-31.34,-29.76,-29.02,-25.69,-20.43,-19.42,-18.13,-17.64,-17.05,Upgrade
Share Issuance / Repurchase,-6.58,-33.05,-6.38,-15.04,-9.13,0.11,-7.91,-9.82,-16.15,-2.11,Upgrade
Debt Issued / Paid,-10.03,35.93,11.84,-56.15,-16.99,-83.98,73.12,-13.84,-72.81,130.33,Upgrade
Other Financing Activities,255.67,742.4,612.14,253.8,371.1,418.97,194.57,336.33,149.21,29.3,Upgrade
Financing Cash Flow,206.95,713.94,587.85,153.6,319.3,314.67,240.37,294.54,42.61,140.47,Upgrade
Net Cash Flow,-402.39,282.14,159.68,-15.71,21.05,-30.27,28.58,13.53,-13.86,-3.88,Upgrade
Free Cash Flow,179.91,166.92,178.08,157.5,135.75,90.43,59.03,36.6,36.79,58.69,Upgrade
Free Cash Flow Growth,7.78%,-6.27%,13.07%,16.02%,50.11%,53.21%,61.26%,-0.52%,-37.31%,-31.67%,Upgrade
Free Cash Flow Margin,52.68%,48.94%,60.63%,50.94%,46.57%,32.84%,23.35%,14.78%,15.69%,25.16%,Upgrade
Free Cash Flow Per Share,7.30,6.73,6.97,6.17,5.23,3.49,2.28,1.40,1.40,2.19,Upgrade
