Year,2022,2021,2020,2019,2018,2017,2016
Net Income,0.57,5.4,9.29,3.57,-8.9,0,4.72
Depreciation & Amortization,9.11,11.07,17.19,2.15,2.52,0.88,0.49
Share-Based Compensation,19.64,7.29,4.75,1.53,26.96,0,0
Other Operating Activities,6.41,11.68,-6.58,14,-10.3,12.67,-0.81
Operating Cash Flow,35.72,35.44,24.64,21.24,10.28,13.54,4.4
Operating Cash Flow Growth,0.79%,43.83%,16.02%,106.73%,-24.12%,207.64%,-
Capital Expenditures,-12.61,-15.41,-10.37,-4.1,-2.24,-6.45,-0.68
Acquisitions,0,0,0,0,0,0,0
Change in Investments,0.04,0.03,0.04,0.02,0.02,0.43,0.02
Other Investing Activities,-,-,-,-,-,-0.12,-0.04
Investing Cash Flow,-12.57,-15.38,-10.33,-4.08,-2.22,-6.14,-0.7
Dividends Paid,0,-60,-44.7,-18.74,-80.06,0,0
Share Issuance / Repurchase,6.13,4.59,5.04,0.33,86.92,0,0
Debt Issued / Paid,-29.38,39.58,36.32,-2.5,-1.26,19.63,28.62
Other Financing Activities,-,-,-,-,-,-25.86,-29.59
Financing Cash Flow,-23.25,-15.83,-3.33,-20.91,5.59,-6.24,-0.97
Net Cash Flow,-0.09,4.24,10.98,-3.75,13.65,1.17,2.74
Free Cash Flow,23.11,20.04,14.28,17.14,8.03,7.09,3.73
Free Cash Flow Growth,15.34%,40.36%,-16.73%,113.47%,13.27%,90.28%,-
Free Cash Flow Margin,11.04%,13.24%,12.20%,22.13%,13.35%,16.60%,11.84%
Free Cash Flow Per Share,1.10,1.04,0.85,1.15,0.59,0.52,-
