Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,-20.07,76.56,35.31,31.76,36.56,19.23,11.13,15.52
Other Operating Activities,-80.82,-221.24,28.36,-219.3,-54.38,5.88,-103.14,-15.38
Operating Cash Flow,-100.89,-144.68,63.67,-187.54,-17.82,25.1,-92.01,0.14
Dividends Paid,-49.59,-45.59,-45.62,-33.78,-31.59,-22.62,-21.53,-19.24
Share Issuance / Repurchase,55.11,0,78.24,0,94.61,22.47,-5.38,90.39
Debt Issued / Paid,98.6,205.01,-75.3,239.3,-44,-30.43,97,-47.24
Other Financing Activities,-3.11,-0.27,-2.75,-1.49,-1.26,-,-1.08,-0.5
Financing Cash Flow,101,159.15,-45.43,204.03,17.76,-30.57,69.01,23.4
Net Cash Flow,0.11,14.47,18.24,16.49,-0.06,-5.47,-23,23.54
Free Cash Flow,-100.89,-144.68,63.67,-187.54,-17.82,25.1,-92.01,0.14
Free Cash Flow Margin,-84.48%,-165.55%,69.82%,-255.55%,-27.57%,48.73%,-210.87%,0.34%
Free Cash Flow Per Share,-3.09,-4.68,2.08,-7.55,-0.87,1.54,-5.69,0.01
