Year,2022,2021,2020,2019,2018
Net Income,-297.8,-241.3,-122.3,-108.5,-52.9
Depreciation & Amortization,12.2,3.7,1.7,0.6,0.1
Share-Based Compensation,59.3,44.1,10.6,4.3,2.1
Other Operating Activities,63.3,48.9,18.3,25.5,9.9
Operating Cash Flow,-163,-144.6,-91.7,-78.1,-40.8
Capital Expenditures,-10.1,-9.4,-4.4,-2.7,-0.7
Acquisitions,98.8,0,0,0,0
Change in Investments,92.4,-795.4,54.5,-50.7,7.1
Other Investing Activities,-,-,-,-0.6,-
Investing Cash Flow,181.1,-804.8,50.1,-54,6.4
Share Issuance / Repurchase,3.6,649.6,341.1,0.7,0.1
Other Financing Activities,-,-,-,299.4,119.8
Financing Cash Flow,3.6,649.6,341.1,300.1,119.9
Net Cash Flow,15.9,-300.8,301.1,167.9,85.5
Free Cash Flow,-173.1,-154,-96.1,-80.8,-41.5
Free Cash Flow Margin,-67.43%,-119.94%,-101.80%,-120.06%,-184.44%
Free Cash Flow Per Share,-2.67,-2.52,-2.85,-7.26,-3.80
