Year,2022,2021,2020,2019
Net Income,-242.81,-72.71,19.04,2.13
Depreciation & Amortization,94.53,23.29,21.26,33.05
Share-Based Compensation,6.91,9.88,-0.28,2.91
Other Operating Activities,36.34,-40.69,-38.84,-23.58
Operating Cash Flow,-105.03,-80.24,1.18,14.51
Operating Cash Flow Growth,-,-,-91.87%,-
Capital Expenditures,-73.43,-235.07,-7.14,-9.73
Acquisitions,-30.17,0,0,0
Investing Cash Flow,-103.61,-235.07,-7.14,-9.73
Share Issuance / Repurchase,124.87,440.25,8.33,0
Debt Issued / Paid,-20.95,14.52,-0.03,-5.39
Other Financing Activities,-4.09,1.06,-2.37,0
Financing Cash Flow,99.83,455.84,5.93,-5.39
Net Cash Flow,-108.82,140.53,-0.03,-0.61
Free Cash Flow,-178.47,-315.31,-5.96,4.78
Free Cash Flow Margin,-118.44%,-181.45%,-14.64%,5.83%
Free Cash Flow Per Share,-0.91,-2.15,-0.06,0.05
