Year,2021,2020,2019,2018,2017,2016,2015
Net Income,-0.54,-10.36,-8.67,-4.55,-9.86,-0.59,-0.02
Depreciation & Amortization,2.07,0.59,1.66,0.01,0.66,0.33,0
Share-Based Compensation,0.65,0.45,0.13,0.04,0,0,0
Other Operating Activities,-11.35,5.39,0.44,-1.76,8.42,1.59,0.02
Operating Cash Flow,-9.16,-3.94,-6.45,-6.26,-0.78,1.32,-0
Capital Expenditures,-3.22,-2.29,-0.5,-0,-0,-0,0
Acquisitions,-0,0.01,0,0,0,-1.18,0
Change in Investments,0,0,0,-0.03,0,0,0
Other Investing Activities,-0.25,-0.23,-0.47,-0.5,-,-0.06,-
Investing Cash Flow,-3.48,-2.51,-0.96,-0.53,-0,-1.25,0
Share Issuance / Repurchase,5.79,12.53,5.14,0,11.05,0,0
Debt Issued / Paid,-0.41,-2.27,-1.66,-0.19,0.79,0,0
Other Financing Activities,4.37,0,-0.05,0.89,-0.11,0.34,-
Financing Cash Flow,9.76,10.26,3.43,0.7,11.74,0.34,0
Net Cash Flow,-3.26,3.6,-4.18,-6.12,10.98,0.16,-0
Free Cash Flow,-12.38,-6.23,-6.94,-6.26,-0.78,1.32,-0
Free Cash Flow Margin,-252.05%,-284.60%,-44.35%,-245.29%,-157.26%,1805.75%,-
Free Cash Flow Per Share,-2.16,-1.58,-2.48,-2.42,-0.35,0.65,-
