Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Net Income,153.44,340.28,54.87,-18.58,81.97,82.29,69.2,70.79,65.39,46.52,Upgrade
Other Operating Activities,-569.9,-646.33,132.81,-99.88,-90.45,-20.09,-125.28,-174.04,-320.96,-344.13,Upgrade
Operating Cash Flow,-416.46,-306.05,187.68,-118.46,-8.48,62.2,-56.08,-103.25,-255.57,-297.61,Upgrade
Change in Investments,0,0,0,0,0,0,0,0,-36.4,-1.37,Upgrade
Investing Cash Flow,0,0,0,0,0,0,0,0,-36.4,-1.37,Upgrade
Dividends Paid,-155.21,-139.12,-136.43,-75.3,-71.06,-76.78,-59.51,-60.03,-54.99,-43.32,Upgrade
Share Issuance / Repurchase,-36.42,-14.66,254.89,0,0,74.01,58.56,67.6,64.17,280.86,Upgrade
Debt Issued / Paid,551.46,542.79,-201.78,236.56,64.74,-84.08,51.57,116.07,276.49,68.48,Upgrade
Other Financing Activities,-6.7,-22.16,-4.49,-4.1,-1.98,-2.34,-2.48,-2.85,-4.87,-4.62,Upgrade
Financing Cash Flow,353.13,366.85,-87.81,157.16,-8.3,-89.18,48.13,120.79,280.8,301.4,Upgrade
Net Cash Flow,-63.33,60.8,99.88,38.7,-16.78,-26.98,-7.94,17.54,-11.17,2.42,Upgrade
Free Cash Flow,-416.46,-306.05,187.68,-118.46,-8.48,62.2,-56.08,-103.25,-255.57,-297.61,Upgrade
Free Cash Flow Margin,-107.39%,-99.65%,62.78%,-68.75%,-5.57%,45.15%,-43.86%,-86.06%,-233.34%,-355.25%,Upgrade
Free Cash Flow Per Share,-2.44,-1.82,1.26,-1.81,-0.14,1.09,-1.08,-2.11,-5.64,-8.63,Upgrade
