Year,2022,2021,2020,2019
Net Income,17.24,11.42,12.12,2.38
Depreciation & Amortization,-0.48,-0.27,0.08,0.87
Share-Based Compensation,1.28,0.66,0.28,0.23
Other Operating Activities,2.34,-7.23,-16.12,0.11
Operating Cash Flow,21.79,4.58,-3.65,3.59
Operating Cash Flow Growth,375.37%,-,-,-
Capital Expenditures,-10.86,-5.62,-1.3,-2.98
Acquisitions,0,0,16.11,0
Change in Investments,"-1,195.75",-495.79,-504.6,-119
Other Investing Activities,-32.92,1.35,-10.23,0.28
Investing Cash Flow,"-1,239.53",-500.06,-500.01,-121.7
Share Issuance / Repurchase,1.53,164.09,0.88,0.22
Debt Issued / Paid,60.07,-52.88,43.5,6.5
Other Financing Activities,"1,161.13",507.73,566.77,72.56
Financing Cash Flow,"1,222.73",618.94,611.16,79.28
Net Cash Flow,4.99,123.47,107.5,-38.83
Free Cash Flow,10.93,-1.04,-4.95,0.61
Free Cash Flow Margin,9.80%,-1.21%,-7.85%,1.82%
Free Cash Flow Per Share,0.81,-0.08,-0.40,-
