Year,2022,2021,2020,2019,2018,2017
Net Income,-2.91,-8.56,-14.88,0.43,1.95,0.64
Depreciation & Amortization,0.58,0.72,0.39,0.05,0.02,0.01
Other Operating Activities,2.18,5.17,8.6,-3.5,0.07,-0.5
Operating Cash Flow,-0.15,-2.67,-5.89,-3.02,2.04,0.15
Operating Cash Flow Growth,-,-,-,-,1224.79%,-
Capital Expenditures,0.18,-0.11,-0.87,-0.27,-0.03,-0.01
Acquisitions,0,0,0,0,-2.87,-0.01
Change in Investments,-1.77,0.85,-0.72,2.74,0,0
Other Investing Activities,-,0.12,1.42,-1.73,-,-
Investing Cash Flow,-1.59,0.86,-0.18,0.74,-2.9,-0.02
Share Issuance / Repurchase,1.07,6.84,0,8.77,0.76,0
Debt Issued / Paid,0,0,0.88,-0.03,0,0
Other Financing Activities,-3.03,-,-0.73,-,-,-
Financing Cash Flow,-1.96,6.84,0.14,8.74,0.76,0
Net Cash Flow,-3.85,5.17,-6.03,6.39,-0.07,0.13
Free Cash Flow,0.03,-2.77,-6.77,-3.29,2.01,0.14
Free Cash Flow Growth,-,-,-,-,1348.38%,-
Free Cash Flow Margin,2.07%,-296.02%,-1049.12%,-106.77%,37.86%,3.82%
Free Cash Flow Per Share,0.00,-0.29,-0.85,-0.46,0.29,0.02
