Year,2022,2021,2020,2019
Net Income,24.36,21.29,11.68,11.48
Depreciation & Amortization,1.69,1.66,1.56,1.48
Share-Based Compensation,0.67,0.54,0.57,0.49
Other Operating Activities,3.76,-3.17,-2.46,0.29
Operating Cash Flow,30.48,20.32,11.34,13.73
Operating Cash Flow Growth,50.01%,79.13%,-17.40%,-
Capital Expenditures,-1.55,-1.96,-0.69,-1.85
Change in Investments,-432.56,-270.92,-286.96,-124.11
Other Investing Activities,-,-18.43,-43.31,-24.54
Investing Cash Flow,-434.11,-291.31,-330.96,-150.51
Dividends Paid,-4.67,-4.03,-3.59,-3.59
Share Issuance / Repurchase,-0.31,34.87,-1.16,-0.47
Debt Issued / Paid,128.5,0,14.32,-30.56
Other Financing Activities,60,425.09,406.16,178.12
Financing Cash Flow,183.53,455.93,415.74,143.51
Net Cash Flow,-220.1,184.95,96.12,6.74
Free Cash Flow,28.94,18.36,10.65,11.88
Free Cash Flow Growth,57.61%,72.37%,-10.33%,-
Free Cash Flow Margin,35.92%,26.18%,19.46%,23.34%
Free Cash Flow Per Share,5.15,3.69,2.36,2.65
