Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Net Income,61.06,59.02,44.14,49.46,42.02,31.27,31.91,27.02,17.33,17.03,Upgrade
Depreciation & Amortization,12.95,13.68,9.43,9.55,9.77,10.36,9.58,11.65,7.61,2.21,Upgrade
Share-Based Compensation,3.74,4.13,2.72,3.31,2.85,2.34,1.79,1.09,0.87,0.47,Upgrade
Other Operating Activities,42.12,-12.25,-18.41,-17.55,7.1,-5.31,-8.67,-3.76,-11.37,8.97,Upgrade
Operating Cash Flow,119.86,64.57,37.88,44.77,61.74,38.67,34.6,36,14.44,28.68,Upgrade
Operating Cash Flow Growth,85.62%,70.48%,-15.39%,-27.49%,59.67%,11.74%,-3.89%,149.35%,-49.66%,68.41%,Upgrade
Capital Expenditures,-0.02,-4.85,-8.83,-12.63,-4.35,-5.4,-1.98,-1.08,-2.18,-0.33,Upgrade
Acquisitions,0,-2.68,0,0,0,0,0,0,91.81,0,Upgrade
Change in Investments,-551.17,-486.18,-389.98,-84.21,-206.9,-188.29,-89.64,-98.09,-29.32,-19.99,Upgrade
Other Investing Activities,-3.8,-1.8,-,4,0.77,2.21,-4.94,2.97,4.43,7.9,Upgrade
Investing Cash Flow,-555,-495.51,-398.81,-92.84,-210.48,-191.47,-96.56,-96.2,64.74,-12.42,Upgrade
Dividends Paid,-19.6,-18.52,-17.93,-17.11,-27.5,-12.05,-18.73,-9.52,-24.46,-3.89,Upgrade
Share Issuance / Repurchase,0.95,-20.41,-5.73,-6.28,-4.62,1.94,-1.12,-14.17,0.51,0.34,Upgrade
Debt Issued / Paid,-54.22,132.73,55.69,3.16,114.77,32.04,75.91,1.2,40.78,14.54,Upgrade
Other Financing Activities,-370.38,686.28,721.17,226.68,-58.66,147.38,99.6,-0.16,-70.23,-16.29,Upgrade
Financing Cash Flow,-443.25,780.09,753.2,206.45,24,169.31,155.66,-22.65,-53.4,-5.3,Upgrade
Net Cash Flow,-878.39,349.15,392.28,158.38,-124.75,16.51,93.71,-82.85,25.77,10.96,Upgrade
Free Cash Flow,119.84,59.72,29.05,32.14,57.38,33.27,32.62,34.92,12.26,28.36,Upgrade
Free Cash Flow Growth,100.65%,105.59%,-9.61%,-44.00%,72.49%,1.98%,-6.59%,184.76%,-56.75%,72.27%,Upgrade
Free Cash Flow Margin,65.21%,32.36%,18.94%,21.46%,41.58%,26.44%,26.31%,29.54%,13.51%,46.09%,Upgrade
Free Cash Flow Per Share,7.55,3.81,1.79,1.97,3.46,2.02,2.00,2.15,0.73,3.26,Upgrade
