Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,94.26,60.65,60.12,54.64,41.04,33.15,17.83,11.22,9.71,15.17,Upgrade
Depreciation & Amortization,21.93,13.86,10.69,7.31,6.28,7.07,5.13,3.32,3.85,3.41,Upgrade
Share-Based Compensation,7.02,7.31,5.7,5.04,4.9,3.06,1.61,1.2,0.96,0.71,Upgrade
Other Operating Activities,-5.81,15.84,2.39,-8.85,-1.23,-2.57,-0.4,-0.9,-3.72,-0.08,Upgrade
Operating Cash Flow,117.4,97.65,78.9,58.14,50.99,40.71,24.81,15.05,11.04,20.18,Upgrade
Operating Cash Flow Growth,20.22%,23.77%,35.71%,14.02%,25.24%,64.13%,64.81%,36.33%,-45.29%,35.06%,Upgrade
Capital Expenditures,-12.23,-12.79,-10.79,-4.39,-4.26,-2.02,-4.05,-0.81,-5.76,-3.01,Upgrade
Acquisitions,119.61,367.8,-21.82,7.33,0,9.12,66.52,-19.87,0,37.62,Upgrade
Change in Investments,-638.65,-728.35,-176.87,-62.89,-76.2,-159.78,-14.58,-4.6,-86.44,36.85,Upgrade
Other Investing Activities,14.91,2.74,0.78,-3.2,3.39,1.72,3.55,3.63,1.24,4.94,Upgrade
Investing Cash Flow,-516.36,-370.6,-208.7,-63.15,-77.07,-150.95,51.44,-21.63,-90.96,76.4,Upgrade
Share Issuance / Repurchase,-58.22,-60.2,-40.03,-19.72,-20.95,-10.98,-3.3,-2.66,-4.88,3.35,Upgrade
Debt Issued / Paid,164.13,-84.01,-16.25,-91.47,-1.25,20.45,-105.61,6.06,-18.36,-64.34,Upgrade
Other Financing Activities,-147.52,209.59,806.88,48.73,142.88,126.6,78.14,18.1,24.9,29.38,Upgrade
Financing Cash Flow,-41.6,65.38,750.6,-62.45,120.68,136.07,-30.76,21.49,1.65,-31.6,Upgrade
Net Cash Flow,-440.57,-207.57,620.8,-67.47,94.59,25.83,45.48,14.91,-78.27,64.98,Upgrade
Free Cash Flow,105.16,84.86,68.11,53.75,46.73,38.7,20.76,14.25,5.29,17.17,Upgrade
Free Cash Flow Growth,23.92%,24.60%,26.72%,15.01%,20.76%,86.41%,45.71%,169.56%,-69.21%,31.83%,Upgrade
Free Cash Flow Margin,36.72%,40.33%,37.49%,31.94%,32.33%,29.53%,22.32%,24.87%,9.90%,30.42%,Upgrade
Free Cash Flow Per Share,7.56,7.91,6.59,5.62,4.85,4.10,2.90,3.56,1.27,4.32,Upgrade
