Year,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,-16.85,-34.83,-71.2,5.53,65.48,8.57,3.54,-0.35
Depreciation & Amortization,0.02,0.02,0.12,0.02,0.17,0.09,0.06,0.02
Share-Based Compensation,0.39,0.06,0.35,6.59,1.83,0,0,0
Other Operating Activities,7.81,44.81,12.45,-13.87,20.24,-0.47,3.43,2.92
Operating Cash Flow,-8.63,10.06,-58.28,-1.73,87.72,8.19,7.03,2.59
Operating Cash Flow Growth,-,-,-,-,971.13%,16.57%,171.62%,-
Capital Expenditures,-0,0,-0.19,-0,-0.46,-0.29,-0.12,-0.22
Change in Investments,-19.96,0.41,17.57,-67.1,-27.17,0,0,0
Other Investing Activities,-,-0.41,-4.6,-1,-,-,-,-
Investing Cash Flow,-19.96,-0,12.78,-68.11,-27.62,-0.29,-0.12,-0.22
Dividends Paid,0,0,0,-19.55,0,0,0,0
Share Issuance / Repurchase,10.02,0,-2.39,-0.16,43.27,2,0,0
Debt Issued / Paid,-10,-10,0,71.42,4.35,8.23,2.65,2.96
Other Financing Activities,34.76,0.96,0.83,-51.74,-0.1,-5.94,-2.41,-4.37
Financing Cash Flow,34.78,-9.04,-1.55,-0.03,47.52,4.29,0.24,-1.41
Net Cash Flow,6.8,4.2,-46.45,-75.25,113.39,11.41,6.86,0.95
Free Cash Flow,-8.63,10.06,-58.47,-1.73,87.27,7.9,6.9,2.36
Free Cash Flow Growth,-,-,-,-,1004.37%,14.44%,192.27%,-
Free Cash Flow Margin,-136.79%,573.15%,-845.64%,-46.89%,81.36%,34.48%,58.05%,50.85%
Free Cash Flow Per Share,-0.43,0.62,-3.60,-0.11,5.82,0.56,0.49,0.17
