Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-2.79,32.46,1.65,19.21,5.85,12.15,24.37,17.89,13.91,9.77,Upgrade
Other Operating Activities,16.9,-12.45,73.29,-58.46,-60.96,-81.72,-76.24,-100.64,-25.43,-72.65,Upgrade
Operating Cash Flow,14.11,20.01,74.93,-39.25,-55.12,-69.57,-51.87,-82.74,-11.52,-62.89,Upgrade
Operating Cash Flow Growth,-29.48%,-73.30%,-,-,-,-,-,-,-,-,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-,-,-0.39,Upgrade
Investing Cash Flow,0,0,0,0,0,0,0,0,0,-0.39,Upgrade
Dividends Paid,-21.67,-21.51,-23.06,-28.62,-28.18,-26.52,-20.57,-16.71,-13.03,-10.3,Upgrade
Share Issuance / Repurchase,0,4.09,6.5,0,2.4,52.22,52.52,49.62,-5.79,55.55,Upgrade
Debt Issued / Paid,-5.06,-16.88,-55.58,79.79,91.44,42.74,14.39,57.97,21.47,28.18,Upgrade
Financing Cash Flow,-26.72,-34.3,-72.15,51.16,65.66,68.44,46.34,90.87,2.65,73.43,Upgrade
Net Cash Flow,-12.61,-14.29,2.78,11.92,10.54,-1.13,-5.54,8.13,-8.87,10.15,Upgrade
Free Cash Flow,14.11,20.01,74.93,-39.25,-55.12,-69.57,-51.87,-82.74,-11.52,-62.89,Upgrade
Free Cash Flow Growth,-29.48%,-73.30%,-,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,24.94%,37.17%,121.68%,-57.55%,-94.40%,-136.12%,-115.23%,-224.25%,-38.50%,-345.28%,Upgrade
Free Cash Flow Per Share,0.65,0.93,3.58,-1.92,-2.71,-3.73,-3.57,-7.08,-1.20,-8.25,Upgrade
