Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,90.53,106.17,117.55,29.56,27.17,-32.55,-3.03,7.58,4.49,-17.17,Upgrade
Depreciation & Amortization,36.21,34.93,36.36,32.81,9.97,8.14,14.03,14.76,7.77,8.78,Upgrade
Share-Based Compensation,165.53,108.91,120.91,111.57,117.99,115.93,89.01,38.61,66.46,79.22,Upgrade
Other Operating Activities,-49.54,-125.85,194.62,37.32,-32.19,19.7,16.85,51.23,-28.74,-20.64,Upgrade
Operating Cash Flow,242.73,124.16,469.44,211.26,122.94,111.22,116.85,112.18,49.99,50.17,Upgrade
Operating Cash Flow Growth,95.50%,-73.55%,122.21%,71.84%,10.54%,-4.82%,4.16%,124.42%,-0.37%,81.61%,Upgrade
Capital Expenditures,-3.43,-6.47,-8.85,-8.81,-7.21,-1.06,-13.09,-34.13,0,0,Upgrade
Acquisitions,0,0,0,7.49,-61.46,0,0,12.65,0,0,Upgrade
Change in Investments,-49.8,137.82,-136.9,-0.39,37.18,-37.18,0.54,-0.55,0,0,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,-2.16,-,-,Upgrade
Investing Cash Flow,-53.24,131.35,-145.75,-1.72,-31.49,-38.24,-12.55,-24.19,0,0,Upgrade
Dividends Paid,-24.63,-77.97,-4.82,-4.65,-4.32,-3.8,-3.73,0,0,0,Upgrade
Share Issuance / Repurchase,-109.48,-103.34,-48.67,-47.81,-64.87,-2.3,0,0,0,0,Upgrade
Debt Issued / Paid,0,0,-21.5,-8.5,29.89,-0.1,-0.09,-0.02,0,0,Upgrade
Other Financing Activities,-75.91,-172.07,-169.28,-40.19,-91.39,-73.44,-28.7,-44.19,-41.12,-45.11,Upgrade
Financing Cash Flow,-210.02,-353.38,-244.28,-101.15,-130.68,-79.64,-32.52,-44.21,-41.12,-45.11,Upgrade
Net Cash Flow,-27.25,-99.03,83.56,109.84,-39.51,-6.81,69.28,43.79,8.87,5.07,Upgrade
Free Cash Flow,239.3,117.69,460.59,202.45,115.73,110.15,103.76,78.06,49.99,50.17,Upgrade
Free Cash Flow Growth,103.33%,-74.45%,127.51%,74.93%,5.07%,6.16%,32.93%,56.15%,-0.37%,81.61%,Upgrade
Free Cash Flow Margin,23.33%,11.86%,43.77%,28.21%,19.95%,22.06%,20.78%,19.23%,12.46%,12.64%,Upgrade
Free Cash Flow Per Share,9.54,4.71,18.80,8.43,5.29,5.84,5.67,4.28,2.74,-,Upgrade
