Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Net Income,10.49,7.41,9.16,11.67,19.34,9,7.5,8.68,40.61,3.3,Upgrade
Depreciation & Amortization,1.26,2.07,1.79,1.67,1.72,4.29,4.3,4.23,4.39,5.06,Upgrade
Share-Based Compensation,0,0,0,0,0.01,0,0.98,0.66,0.07,0.09,Upgrade
Other Operating Activities,-2.46,-1.71,2.56,8.03,-0.38,9.44,6.16,1.32,-27.23,1.34,Upgrade
Operating Cash Flow,9.29,7.77,13.52,21.37,20.69,22.73,18.94,14.88,17.85,9.78,Upgrade
Operating Cash Flow Growth,19.62%,-42.53%,-36.76%,3.33%,-9.00%,20.00%,27.27%,-16.60%,82.48%,-42.52%,Upgrade
Capital Expenditures,-1.94,-2.34,-2.01,-0.8,3.88,-1.13,-0.7,-0.54,-1.18,-0.01,Upgrade
Change in Investments,-316.09,-102.3,201.01,184.97,-0.04,15.54,-76.33,-53.07,-86.29,-91.3,Upgrade
Other Investing Activities,1.26,3.51,0.07,-,4.22,-,-,-,-,-,Upgrade
Investing Cash Flow,-316.77,-101.13,199.07,184.18,8.06,14.41,-77.02,-53.61,-87.46,-91.31,Upgrade
Dividends Paid,-5.23,-5.62,-5.98,-6.27,-6.45,-5.15,-4.13,-4.15,-1.69,-0.84,Upgrade
Share Issuance / Repurchase,-4.87,-17.12,-4.61,-18.14,-23.28,-10.82,-13.22,-9.97,0,0,Upgrade
Debt Issued / Paid,-4.32,19.88,2.39,-21.3,-40.83,10.3,-13.74,51.44,10.92,-2.79,Upgrade
Other Financing Activities,-113.5,94.89,108.79,-67.73,12.43,-0.56,126.47,1.21,-41,-29.64,Upgrade
Financing Cash Flow,-127.91,92.03,100.58,-113.43,-58.13,-6.23,95.39,38.53,-31.76,-33.27,Upgrade
Net Cash Flow,-435.39,-1.33,313.17,92.12,-29.39,30.91,37.31,-0.2,-101.38,-114.81,Upgrade
Free Cash Flow,7.35,5.43,11.51,20.58,24.56,21.6,18.25,14.34,16.67,9.77,Upgrade
Free Cash Flow Growth,35.25%,-52.80%,-44.06%,-16.22%,13.72%,18.37%,27.23%,-13.97%,70.63%,-33.44%,Upgrade
Free Cash Flow Margin,13.37%,10.72%,22.48%,37.73%,36.77%,38.17%,33.95%,25.59%,31.01%,17.91%,Upgrade
Free Cash Flow Per Share,0.56,0.39,0.77,1.32,1.41,1.18,0.96,0.72,0.83,0.49,Upgrade
