Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,"1,012","1,578",-931,932,636,"1,164",654,260,591,595,Upgrade
Depreciation & Amortization,509,515,734,943,912,874,841,955,899,871,Upgrade
Other Operating Activities,"1,793",530,"1,942",-134,"2,674",552,758,"2,332","1,500",630,Upgrade
Operating Cash Flow,"3,314","2,623","1,745","1,741","4,222","2,590","2,253","3,547","2,990","2,096",Upgrade
Operating Cash Flow Growth,26.34%,50.32%,0.23%,-58.76%,63.01%,14.96%,-36.48%,18.63%,42.65%,-26.56%,Upgrade
Capital Expenditures,-660,-482,-710,"-1,041",-995,"-1,031","-1,450","-1,555","-2,753","-1,737",Upgrade
Acquisitions,-63,497,-476,-117,76,"-1,139",251,-124,583,-53,Upgrade
Change in Investments,"-1,532","-1,289",-101,693,-465,-112,"-1,146",-84,808,"-1,251",Upgrade
Other Investing Activities,-92,87,-127,-206,-60,-373,158,-172,-108,-257,Upgrade
Investing Cash Flow,"-2,347","-1,187","-1,414",-671,"-1,444","-2,655","-2,187","-1,935","-1,470","-3,298",Upgrade
Dividends Paid,-61,-65,-70,-76,-80,-84,-84,-90,-95,-97,Upgrade
Share Issuance / Repurchase,-729,"-1,136",-923,"-1,051","-1,026",-216,-134,"-1,258",-616,-223,Upgrade
Debt Issued / Paid,-67,6,933,120,-178,656,196,-101,-265,"1,761",Upgrade
Other Financing Activities,-180,-94,-138,-137,"-1,551",-155,-144,-76,-466,-170,Upgrade
Financing Cash Flow,"-1,037","-1,289",-198,"-1,144","-2,835",201,-166,"-1,525","-1,442","1,271",Upgrade
Net Cash Flow,-89,143,142,-69,-67,145,-113,76,70,66,Upgrade
Free Cash Flow,"2,654","2,141","1,035",700,"3,227","1,559",803,"1,992",237,359,Upgrade
Free Cash Flow Growth,23.96%,106.86%,47.86%,-78.31%,106.99%,94.15%,-59.69%,740.51%,-33.98%,-75.22%,Upgrade
Free Cash Flow Margin,18.90%,14.61%,8.23%,4.69%,22.94%,11.35%,6.13%,14.85%,1.65%,2.46%,Upgrade
Free Cash Flow Per Share,10.93,8.24,3.69,2.31,10.11,4.63,2.38,5.50,0.62,0.92,Upgrade
