Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,50.14,118.76,-11.02,51.84,31.31,85.9,119.67,-1.44,16.34,6.1,Upgrade
Other Operating Activities,-14.86,-168.01,209.75,74.19,-145.89,-499.53,-345.64,-371.27,-341.04,-141.39,Upgrade
Operating Cash Flow,35.28,-49.25,198.73,126.04,-114.58,-413.63,-225.96,-372.71,-324.7,-135.29,Upgrade
Operating Cash Flow Growth,-,-,57.68%,-,-,-,-,-,-,-,Upgrade
Dividends Paid,-66.64,-56.04,-39.99,-48.97,-44.75,-42.4,-38.41,-27.38,-11.45,-1.54,Upgrade
Share Issuance / Repurchase,-15.44,-10.47,-23.3,-29.28,-64.81,17.63,22.46,476.51,378.54,150.95,Upgrade
Debt Issued / Paid,125.78,99.62,-121.67,-58.93,186.53,479.91,220.52,-0.28,0,-0.07,Upgrade
Other Financing Activities,-,-,-,-0.3,-1.17,-2.2,-3.3,-43.87,-33.37,-13.6,Upgrade
Financing Cash Flow,43.69,33.11,-184.95,-137.48,75.8,452.94,201.27,404.98,333.73,135.74,Upgrade
Net Cash Flow,78.97,-16.14,13.78,-11.44,-38.78,39.31,-24.7,32.27,9.02,0.45,Upgrade
Free Cash Flow,35.28,-49.25,198.73,126.04,-114.58,-413.63,-225.96,-372.71,-324.7,-135.29,Upgrade
Free Cash Flow Growth,-,-,57.68%,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,18.10%,-31.30%,121.29%,62.67%,-60.90%,-271.36%,-274.64%,-705.77%,-1833.12%,-7261.94%,Upgrade
Free Cash Flow Per Share,0.62,-0.87,3.50,2.22,-2.01,-7.37,-4.26,-9.50,-19.31,-48.99,Upgrade
