Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,55,192.43,176.11,36.15,53.68,49.55,40.65,46.63,36.92,17.98
Other Operating Activities,-27.56,-222.28,-10.33,-71.42,-102.92,-98.85,-72,-168.04,-316.44,-557.47
Operating Cash Flow,27.44,-29.86,165.78,-35.27,-49.24,-49.3,-31.35,-121.41,-279.52,-539.49
Dividends Paid,-180,-193.04,-145.6,-69.85,-70.37,-67.43,-64.87,-63.57,-41.54,-8.25
Share Issuance / Repurchase,14.01,0,0,0,0,81.57,0,134.38,-24.41,505.43
Debt Issued / Paid,147.68,229.34,27.27,108.99,118.17,43.5,83.75,69,350,0
Other Financing Activities,-3.44,-4.61,-24.78,-0.58,-4.05,-1.3,-5.67,-4.3,-3.33,48.19
Financing Cash Flow,-21.75,31.69,-143.11,38.56,43.75,56.34,13.21,135.51,280.72,545.37
Net Cash Flow,5.69,1.84,22.67,3.29,-5.49,7.04,-18.15,14.1,1.2,5.88
Free Cash Flow,27.44,-29.86,165.78,-35.27,-49.24,-49.3,-31.35,-121.41,-279.52,-539.49
Free Cash Flow Margin,7.68%,-8.60%,95.85%,-23.95%,-33.56%,-36.04%,-25.06%,-102.51%,-381.45%,-2362.56%
Free Cash Flow Per Share,0.27,-0.29,3.07,-0.88,-1.23,-1.28,-0.86,-3.49,-9.40,-22.65
