Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Net Income,74.57,81.01,83.32,80.24,85.41,88.88,80.55,72.59,65.89,55.96,Upgrade
Depreciation & Amortization,27.04,32.57,32.82,22.95,25.19,20.89,19.37,17.45,13.29,21.32,Upgrade
Share-Based Compensation,11.01,13.71,12.12,11.78,11.36,11.25,13.44,13.98,12.16,11.36,Upgrade
Other Operating Activities,-73.68,-44.13,-6.46,-11.97,-29.84,-19.85,-28.44,-1.92,12.18,52.18,Upgrade
Operating Cash Flow,38.93,83.16,121.8,103,92.12,101.17,84.91,102.1,103.51,140.81,Upgrade
Operating Cash Flow Growth,-53.19%,-31.73%,18.25%,11.82%,-8.95%,19.14%,-16.83%,-1.36%,-26.49%,-9.52%,Upgrade
Capital Expenditures,-2.31,-1.34,20.71,-3.78,-8.37,-4.15,-9.13,-5.52,-2.82,-2.82,Upgrade
Change in Investments,"-1,874.49",615.31,122.26,-342.94,-472.76,-760.21,-468.24,-620.78,-691.59,122.31,Upgrade
Other Investing Activities,1.71,-66.62,4.6,4.73,6.28,9.55,22.98,25.92,25.76,25.7,Upgrade
Investing Cash Flow,"-1,875.1",547.36,147.58,-341.98,-474.86,-754.81,-454.38,-600.39,-668.65,145.19,Upgrade
Dividends Paid,-58.3,-56.64,-55.47,-50.47,-37.63,-27.71,-23.41,-19.49,-4.89,0,Upgrade
Share Issuance / Repurchase,-6.29,-5.59,-2.32,-10.63,-21.51,-56.53,-136.06,-176.66,-101.36,0,Upgrade
Debt Issued / Paid,"1,707.62",-426.9,-22.92,602.31,334.69,"1,168.82",742.54,"1,055.15",449.45,270.79,Upgrade
Other Financing Activities,74.37,-151.09,34.22,-296.88,108.75,-393.95,-137.73,-386.75,117.35,-579.06,Upgrade
Financing Cash Flow,"1,717.4",-640.22,-46.48,244.35,384.3,690.62,445.33,472.25,460.55,-308.26,Upgrade
Net Cash Flow,-118.76,-9.71,222.89,5.37,1.56,36.98,75.87,-26.03,-104.59,-22.27,Upgrade
Free Cash Flow,36.62,81.82,142.51,99.22,83.74,97.02,75.79,96.58,100.69,137.99,Upgrade
Free Cash Flow Growth,-55.24%,-42.59%,43.63%,18.49%,-13.68%,28.01%,-21.53%,-4.08%,-27.03%,-6.95%,Upgrade
Free Cash Flow Margin,12.62%,27.65%,48.72%,33.53%,26.71%,30.73%,24.98%,32.48%,36.70%,53.07%,Upgrade
Free Cash Flow Per Share,0.13,0.30,0.52,0.36,0.30,0.35,0.27,0.33,0.34,0.46,Upgrade
