Year,2022,2021,2020,2019,2018
Net Income,-297.7,-521.1,-363,-282.4,-69.1
Depreciation & Amortization,13.8,16.6,15.6,4.9,0.6
Share-Based Compensation,45,28.1,3.7,1.4,0.1
Other Operating Activities,28.3,73,56.5,148.9,42.3
Operating Cash Flow,-210.6,-403.4,-287.2,-127.2,-26.1
Capital Expenditures,-8.8,-11.2,-7.2,-12.1,-3.5
Change in Investments,-6.5,88.1,-98,-101.9,-17.1
Other Investing Activities,-1.3,-,-8.9,-,-
Investing Cash Flow,-16.6,76.9,-114.1,-114,-20.6
Share Issuance / Repurchase,0.3,3.2,"1,100",1.9,0.1
Debt Issued / Paid,286,-199.5,-1.5,174,0
Other Financing Activities,-3,116,-,359.6,150.8
Financing Cash Flow,283.3,-80.3,"1,098.5",535.5,150.9
Net Cash Flow,56.1,-406.8,697.2,294.3,104.2
Free Cash Flow,-219.4,-414.6,-294.4,-139.3,-29.6
Free Cash Flow Margin,-70.59%,-120.03%,-84.89%,-48.00%,-68.36%
Free Cash Flow Per Share,-15.56,-30.04,-70.09,-73.98,-21.05
