Year,2022,2021,2020,2019,2018,2017,2016
Net Income,56.46,56.27,36.85,66.87,63.8,56.1,58.55
Depreciation & Amortization,3.92,4.13,4.17,4.13,4.78,5.21,5.76
Share-Based Compensation,1.95,0.76,0.35,0,0,0,0
Other Operating Activities,10.27,-18.14,-10.11,18.1,11.42,10.77,4
Operating Cash Flow,72.59,43.02,31.26,89.09,79.99,72.08,68.3
Operating Cash Flow Growth,68.71%,37.65%,-64.92%,11.37%,10.98%,5.54%,-
Capital Expenditures,0.32,-1.01,-1.86,-0.89,0.61,-2.04,-1.25
Acquisitions,0,-4.77,0,0.11,0,0,0
Change in Investments,-335.92,-349.64,-380.66,110.7,57.63,-91.44,15.85
Other Investing Activities,0.48,5.81,2.07,5.42,6.85,3.17,9.97
Investing Cash Flow,-335.12,-349.61,-380.45,115.34,65.09,-90.31,24.58
Dividends Paid,-18.58,-16.75,-16.52,-224.96,-42.62,-57.07,-40.75
Share Issuance / Repurchase,-4.78,-4.91,0,138.49,-0.91,0,0.92
Debt Issued / Paid,141.83,-1.08,40.51,-1.76,-20.64,23.76,-56.96
Other Financing Activities,-151.03,426.15,353.68,-19.12,-59.72,-21.52,16.79
Financing Cash Flow,-32.57,403.41,377.68,-107.34,-123.89,-54.83,-80
Net Cash Flow,-295.11,96.82,28.48,97.09,21.2,-73.06,12.88
Free Cash Flow,72.91,42.01,29.4,88.2,80.6,70.04,67.05
Free Cash Flow Growth,73.55%,42.92%,-66.67%,9.43%,15.08%,4.45%,-
Free Cash Flow Margin,40.22%,25.04%,20.77%,54.06%,52.01%,46.38%,43.54%
Free Cash Flow Per Share,2.53,1.51,1.07,4.39,4.47,3.88,3.71
