Year,2022,2021,2020,2019,2018,2017,2016
Net Income,-2.19,14.69,16.06,-6.59,-43.21,-7.51,-10.76
Depreciation & Amortization,2.75,1.34,0.93,0.75,0.47,0.34,0.2
Share-Based Compensation,14.21,13.37,6.05,4.06,34.2,0.35,0.22
Other Operating Activities,243.23,383.8,512.23,245.08,-12.64,-1.69,-1.16
Operating Cash Flow,258.06,413.2,535.28,243.31,-21.17,-8.51,-11.5
Operating Cash Flow Growth,-37.55%,-22.81%,120.00%,-,-,-,-
Capital Expenditures,-4.89,-4.96,-0.98,-1.32,-1.68,-0.59,-0.44
Acquisitions,-0.64,4.7,-1.46,14.18,0,-0.09,-0.24
Change in Investments,1.92,11.18,46,-34.9,-33.44,-2.99,0.99
Investing Cash Flow,-3.61,10.92,43.56,-22.04,-35.12,-3.67,0.3
Share Issuance / Repurchase,0.37,175.97,-2.17,114.97,0.18,0,0
Debt Issued / Paid,0,154.91,0,-1.1,0,0,0
Other Financing Activities,4.36,-,-6.2,1.04,79.35,14.6,18.09
Financing Cash Flow,4.73,330.88,-8.37,114.91,79.53,14.6,18.09
Net Cash Flow,259.18,755,570.47,336.18,23.23,2.42,6.89
Free Cash Flow,253.17,408.24,534.3,241.99,-22.86,-9.1,-11.94
Free Cash Flow Growth,-37.98%,-23.59%,120.79%,-,-,-,-
Free Cash Flow Margin,122.48%,165.88%,416.14%,443.52%,-68.10%,-53.66%,-218.11%
Free Cash Flow Per Share,1.66,2.78,3.78,2.07,-0.68,-0.31,-0.40
