Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,14.94,19.62,12.8,16.12,6.13,2.18,8.09,10.2,8.4,6.23,Upgrade
Depreciation & Amortization,1.44,1.2,1.33,1.37,1.33,1.33,1.35,1.51,1.94,1.91,Upgrade
Share-Based Compensation,0.46,0.2,0.2,0,0.19,0.16,0.09,0.07,0,0,Upgrade
Other Operating Activities,8.41,5.33,-7.89,1.48,1.66,12.59,5.34,1.5,4.02,7.25,Upgrade
Operating Cash Flow,25.24,26.35,6.44,18.97,9.3,16.25,14.86,13.29,14.36,15.4,Upgrade
Operating Cash Flow Growth,-4.19%,309.46%,-66.07%,103.89%,-42.76%,9.40%,11.78%,-7.43%,-6.76%,45.80%,Upgrade
Capital Expenditures,-12.22,-5.51,-0.48,-1.65,-1.16,-1.12,-0.58,-1.04,-0.35,-0.53,Upgrade
Change in Investments,-82.84,-129.57,-279.53,-25.96,-46.42,-33.57,-103.15,-49.02,-13.47,-3.69,Upgrade
Other Investing Activities,-,1.14,2.7,4.13,0.09,2.45,1.06,0.9,0.87,0.66,Upgrade
Investing Cash Flow,-95.06,-133.94,-277.31,-23.48,-47.49,-32.24,-102.67,-49.17,-12.94,-3.56,Upgrade
Dividends Paid,-5.66,-5.52,-5.23,-5.12,-4.6,-4.03,-3.52,-3.14,-2.85,-2.81,Upgrade
Share Issuance / Repurchase,-1.87,1.33,0.7,-2.26,1.69,1.17,0.96,1.34,0.98,0.98,Upgrade
Debt Issued / Paid,0,0,19.54,0,0,-24.27,24.27,-9.08,-27.16,-18.38,Upgrade
Other Financing Activities,-32.91,229.79,229.18,42.76,35.45,65.06,63.61,37.33,35.46,-28.72,Upgrade
Financing Cash Flow,-40.44,225.59,244.2,35.39,32.54,37.93,85.31,26.45,6.43,-48.93,Upgrade
Net Cash Flow,-110.25,118,-26.68,30.87,-5.65,21.94,-2.5,-9.43,7.85,-37.09,Upgrade
Free Cash Flow,13.03,20.84,5.95,17.31,8.14,15.13,14.28,12.25,14.01,14.87,Upgrade
Free Cash Flow Growth,-37.50%,250.23%,-65.63%,112.68%,-46.21%,6.00%,16.56%,-12.58%,-5.78%,79.96%,Upgrade
Free Cash Flow Margin,19.68%,31.46%,11.35%,30.21%,18.79%,30.94%,33.54%,28.09%,33.37%,38.35%,Upgrade
Free Cash Flow Per Share,2.97,4.70,1.36,3.98,1.85,3.48,3.32,2.88,3.33,3.58,Upgrade
