Year,2022,2021,2020,2019,2018
Net Income,219.42,208.62,170.2,151.37,56.61
Depreciation & Amortization,15.79,13.73,13.23,16.52,17.52
Share-Based Compensation,14.28,3.67,0,0,0
Other Operating Activities,-78.1,119.89,42.14,-9.62,15.49
Operating Cash Flow,171.38,345.91,225.57,158.27,89.62
Operating Cash Flow Growth,-50.45%,53.35%,42.52%,76.60%,-
Capital Expenditures,-6.48,-3.09,-2.02,-1.74,-0.97
Acquisitions,-79.5,0,-1.18,0,0
Change in Investments,217.82,"-1,316.88",78.51,-38.11,-16.06
Investing Cash Flow,131.84,"-1,319.97",75.31,-39.85,-17.02
Dividends Paid,-211.32,-255.96,-176.29,-76.23,-45.89
Share Issuance / Repurchase,-63.35,"1,341.57",0.14,-0.23,0.11
Debt Issued / Paid,56.18,-18.53,-16.5,-23.98,-8.34
Other Financing Activities,2.99,-19.05,-0.9,-,0.85
Financing Cash Flow,-215.51,"1,048.02",-193.55,-100.43,-53.26
Net Cash Flow,34.23,16.74,77.09,-7.94,3
Free Cash Flow,164.91,342.82,223.55,156.54,88.66
Free Cash Flow Growth,-51.90%,53.35%,42.81%,76.56%,-
Free Cash Flow Margin,40.41%,73.65%,65.77%,52.76%,51.48%
Free Cash Flow Per Share,2.90,6.03,4.03,2.82,-
