Year,2021,2020,2019,2018,2017,2016
Net Income,217.94,142.29,24.84,7.15,18.2,6.29
Depreciation & Amortization,5.83,4.39,3.83,2.03,1.49,0.2
Share-Based Compensation,7.86,0.63,1.48,3.5,1.62,0
Other Operating Activities,-674.63,387.12,52.48,45.8,-138.47,-1.68
Operating Cash Flow,-443.01,534.44,82.62,58.48,-117.17,4.8
Operating Cash Flow Growth,-,546.85%,41.29%,-,-,-
Capital Expenditures,-4.85,-2.01,-2,-4.72,-1.34,-0.07
Acquisitions,0,94.68,0,-2.24,12,-2.77
Change in Investments,-41.62,5.39,-14.31,0.23,0.1,0.14
Other Investing Activities,-52.39,-2.23,-3.46,-,0.02,-
Investing Cash Flow,-98.86,95.82,-19.76,-6.73,10.78,-2.7
Share Issuance / Repurchase,0,0,0.46,0.23,49.04,8.68
Debt Issued / Paid,426.13,295.24,-1.25,-42.57,112.67,3.09
Other Financing Activities,181.69,109.18,58.87,0.02,-,-
Financing Cash Flow,607.82,404.42,58.08,-42.32,161.71,11.77
Net Cash Flow,11.41,"1,030.91",95.79,0.73,52.33,15.99
Free Cash Flow,-447.86,532.43,80.63,53.75,-118.51,4.73
Free Cash Flow Growth,-,560.36%,50.00%,-,-,-
Free Cash Flow Margin,-76.57%,200.20%,96.68%,72.36%,-205.18%,24.39%
Free Cash Flow Per Share,-7.54,9.12,1.39,0.93,-3.56,0.42
