Year,2022,2021,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 2004
Net Income,82.36,111.86,-116.06,71.95,87.03,18.37,-44.53,75.42,270.87,104.47,Upgrade
Other Operating Activities,-85.04,358.81,-366.4,-204.58,176.77,624.05,480.72,-32.38,-563.65,-124.4,Upgrade
Operating Cash Flow,-2.68,470.67,-482.46,-132.63,263.8,642.42,436.19,43.04,-292.78,-19.93,Upgrade
Operating Cash Flow Growth,-,-,-,-,-58.94%,47.28%,913.44%,-,-,-,Upgrade
Dividends Paid,-93.34,-105.72,-121.78,-127.98,-131.5,-156.51,-187.18,-189.39,-175.42,-161.14,Upgrade
Share Issuance / Repurchase,-21.1,0,-52.14,-50.83,-19.75,-37.92,-62.44,-0.03,285.54,50,Upgrade
Debt Issued / Paid,93.44,-343.81,659.65,342.25,-102.96,-447.7,-170.45,145.11,202.96,153.16,Upgrade
Other Financing Activities,-0.33,-10.17,-0.84,-9.91,-0.52,-7.88,-5.88,-4.82,-11.78,-18.57,Upgrade
Financing Cash Flow,-21.33,-459.7,484.89,153.53,-254.73,-650.02,-425.94,-49.14,301.3,23.45,Upgrade
Net Cash Flow,-24.03,10.95,2.43,20.9,9.07,-7.63,10.49,-6.32,8.54,3.52,Upgrade
Free Cash Flow,-2.68,470.67,-482.46,-132.63,263.8,642.42,436.19,43.04,-292.78,-19.93,Upgrade
Free Cash Flow Growth,-,-,-,-,-58.94%,47.28%,913.44%,-,-,-,Upgrade
Free Cash Flow Margin,-1.26%,217.15%,-174.23%,-52.00%,101.74%,229.55%,114.86%,9.93%,-76.77%,-6.00%,Upgrade
Free Cash Flow Per Share,-0.04,7.31,-7.25,-1.92,3.65,8.77,5.79,0.55,-3.91,-0.29,Upgrade
