Year,2022,2021,2020
Net Income,44.01,36.17,26.5
Depreciation & Amortization,3.05,3.21,2.94
Share-Based Compensation,2,0.28,0.15
Other Operating Activities,11.99,15.3,-6.39
Operating Cash Flow,61.06,54.95,23.19
Operating Cash Flow Growth,11.11%,136.96%,-
Capital Expenditures,-14.82,1.48,-2.7
Change in Investments,-113.98,-386,-403.03
Other Investing Activities,1.23,0.24,-0.01
Investing Cash Flow,-127.56,-384.28,-405.74
Dividends Paid,-15.74,-14.87,-14.91
Share Issuance / Repurchase,0.1,-1.12,-1.55
Debt Issued / Paid,68.1,50,150
Other Financing Activities,-13.02,143.97,393.96
Financing Cash Flow,39.44,177.99,527.51
Net Cash Flow,-27.07,-151.34,144.96
Free Cash Flow,46.24,56.43,20.49
Free Cash Flow Growth,-18.05%,175.36%,-
Free Cash Flow Margin,36.06%,49.13%,21.33%
Free Cash Flow Per Share,6.22,-,-
