Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-48.91,59.2,18.82,39.19,-58.1,8.84,10.22,-0.11,3,26.77,Upgrade
Depreciation & Amortization,0.34,0.38,0.05,0.02,0.02,0.02,0.02,0.01,0.01,0.02,Upgrade
Share-Based Compensation,0,0,0,0,0.07,5.88,2.46,4.93,1.92,0.51,Upgrade
Other Operating Activities,-21.99,178.61,-298.35,-81.17,134.99,-82.35,-6.11,-52.18,-63.58,13.51,Upgrade
Operating Cash Flow,-70.55,238.19,-279.48,-41.96,76.98,-67.62,6.59,-47.35,-58.64,40.81,Upgrade
Capital Expenditures,0,0,-11.08,-6.52,0,0,0,0,0,0,Upgrade
Acquisitions,-1.47,0,0,0,0.05,-15,-0,0.02,0,0,Upgrade
Change in Investments,1.87,65.29,-162.99,1.46,4.74,-3.73,-4.12,-41.73,3.84,29.4,Upgrade
Other Investing Activities,-,-,-,-,-0.05,-,0,-0.02,-,-,Upgrade
Investing Cash Flow,0.4,65.29,-174.07,-5.06,4.74,-18.73,-4.12,-41.73,3.84,29.4,Upgrade
Dividends Paid,-4.4,-4.42,-6.72,-4.51,-4.67,-4.77,-2.5,0,0,0,Upgrade
Share Issuance / Repurchase,-2.58,-7.64,-7.44,-4.14,-7.01,-21.22,-41.63,-0.04,0,0,Upgrade
Debt Issued / Paid,0,0,0,-0,50,50,150,-16,-10,0,Upgrade
Other Financing Activities,-30.2,-2.33,165.11,-2.93,-3.63,41.36,0.01,25.33,150.8,-50.52,Upgrade
Financing Cash Flow,-37.18,-14.39,150.95,-11.58,34.69,65.37,105.87,9.28,140.8,-50.52,Upgrade
Net Cash Flow,-107.33,289.09,-302.49,-60.98,116.41,-20.98,108.35,-79.8,85.99,19.69,Upgrade
Free Cash Flow,-70.55,238.19,-290.57,-48.48,76.98,-67.62,6.59,-47.35,-58.64,40.81,Upgrade
Free Cash Flow Margin,-463.30%,1138.38%,-1530.67%,-218.34%,337.94%,-251.24%,21.10%,-207.29%,-278.86%,199.81%,Upgrade
Free Cash Flow Per Share,-3.20,10.77,-12.99,-2.15,3.34,-2.84,0.27,-1.90,-2.31,-,Upgrade
