Year,2022,2021,2020,2019
Net Income,-0.97,-0.6,-0.32,-
Other Operating Activities,-0.17,0.17,0.18,-0.02
Operating Cash Flow,-1.13,-0.43,-0.14,-0.02
Change in Investments,47.39,-1.38,-46,0
Investing Cash Flow,47.39,-1.38,-46,0
Share Issuance / Repurchase,-42.45,0,47,0.03
Debt Issued / Paid,2.03,1.38,0.06,0.18
Other Financing Activities,-,-,-0.24,-0.16
Financing Cash Flow,-40.43,1.38,46.82,0.05
Net Cash Flow,5.83,-0.43,0.69,0.03
Free Cash Flow,-1.13,-0.43,-0.14,-0.02
Free Cash Flow Per Share,-0.24,-0.07,-0.04,-0.04
