Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,32.52,23.5,20.1,18.4,14.95,12.72,11.66,10.34,9.65,9.01,Upgrade
Depreciation & Amortization,4.02,4.99,4.3,3.52,2.24,2.15,2.21,2.06,2.12,1.93,Upgrade
Share-Based Compensation,1.02,0.9,1.07,1.09,0.75,0.51,0.4,0.31,0.23,0.25,Upgrade
Other Operating Activities,3.12,5.36,1.92,0.92,-7.2,2.27,-1.84,2.09,7.17,5.8,Upgrade
Operating Cash Flow,40.67,34.74,27.38,23.93,10.74,17.65,12.43,14.81,19.16,16.99,Upgrade
Operating Cash Flow Growth,17.06%,26.88%,14.42%,122.88%,-39.16%,41.99%,-16.06%,-22.72%,12.77%,19.55%,Upgrade
Capital Expenditures,-2.6,-1.97,-3.22,-3.51,-2.63,-1.89,-2.41,-1.72,-2.91,-0.93,Upgrade
Acquisitions,9.07,-12.36,0,-2.09,0,0,0,0,0,15.22,Upgrade
Change in Investments,-396.82,-251.83,-165.54,-144.28,3.98,-46.42,-61.83,-52.32,25.39,-46.25,Upgrade
Other Investing Activities,0.44,0.46,-8.96,0.56,0.12,0.14,0.04,0.06,0.02,-,Upgrade
Investing Cash Flow,-389.9,-265.69,-177.72,-149.32,1.47,-48.17,-64.19,-53.97,22.51,-31.96,Upgrade
Dividends Paid,-10.28,-7.67,-7.19,-6.35,-4.96,-4.44,-4.12,-3.94,-3.86,-3.72,Upgrade
Share Issuance / Repurchase,-0.31,-0.34,-0.38,-0.38,-0.49,-0.2,-0.19,-0.8,-0.58,-1.24,Upgrade
Debt Issued / Paid,97.54,73.29,-25.33,-8.05,-12.31,-35.83,-8.49,32.85,-18.29,11.34,Upgrade
Other Financing Activities,165.86,170.79,307.65,153.09,9.45,77.14,70.86,8.78,-13.9,-16.25,Upgrade
Financing Cash Flow,252.82,236.07,274.75,138.32,-8.31,36.67,58.06,36.89,-36.64,-9.87,Upgrade
Net Cash Flow,-96.41,5.12,124.41,12.93,3.9,6.15,6.3,-2.28,5.03,-24.83,Upgrade
Free Cash Flow,38.07,32.78,24.16,20.42,8.11,15.76,10.02,13.09,16.26,16.07,Upgrade
Free Cash Flow Growth,16.15%,35.66%,18.31%,151.83%,-48.55%,57.23%,-23.44%,-19.45%,1.16%,18.27%,Upgrade
Free Cash Flow Margin,38.96%,39.18%,34.72%,31.79%,16.09%,33.80%,22.91%,32.55%,41.97%,43.66%,Upgrade
Free Cash Flow Per Share,2.80,2.51,2.17,1.83,0.87,1.70,1.08,1.42,1.76,1.72,Upgrade
