Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Net Income,44.78,33.08,19.56,19.69,15.81,9.37,7.07,6.11,6.79,8.86,Upgrade
Depreciation & Amortization,0.64,2.22,0.44,-0.15,-0.18,1.06,0.62,1.7,0.69,1.99,Upgrade
Share-Based Compensation,1.13,0.42,1.19,0.99,0.25,0.2,0.13,0.07,0.06,0.06,Upgrade
Other Operating Activities,-6.46,9.01,116.85,2.4,23.19,9.79,-1.5,-1.11,-3.84,4.57,Upgrade
Operating Cash Flow,40.89,45.89,139.35,24.27,40.03,21.03,7.24,7.69,4.5,16.04,Upgrade
Operating Cash Flow Growth,-10.90%,-67.07%,474.22%,-39.37%,90.30%,190.48%,-5.83%,71.02%,-71.97%,28.92%,Upgrade
Capital Expenditures,-0.52,0.42,6.03,-2.51,-1.57,-1.91,-6.08,-3.58,-1.75,-1.69,Upgrade
Acquisitions,0,0,0,0,5.05,0,0,0,0,0,Upgrade
Change in Investments,-764.48,0.42,-261.52,137.62,-469.68,-181.02,-153.7,-214.43,-87.37,-45.35,Upgrade
Other Investing Activities,3.5,-8.5,-60,-,-,-,-,-,-,-,Upgrade
Investing Cash Flow,-761.5,-7.67,-315.49,135.1,-466.2,-182.92,-159.78,-218.01,-89.12,-47.03,Upgrade
Dividends Paid,-10.38,-9.78,-9.23,-8.71,-8.4,-6.54,-6.02,-4.46,-4.41,-4.03,Upgrade
Share Issuance / Repurchase,-2.77,-3.44,-4.51,19.13,0.51,43.3,0.33,25.99,0.46,-1.76,Upgrade
Debt Issued / Paid,310,-120,-54.64,0,40.8,10,-25,41,31,1,Upgrade
Other Financing Activities,241.49,245.39,-44.61,185.3,464.3,174.33,115.63,248.3,59.86,31.48,Upgrade
Financing Cash Flow,538.34,112.18,-112.98,195.72,497.21,221.09,84.94,310.83,86.9,26.69,Upgrade
Net Cash Flow,-182.27,150.4,-289.12,355.09,71.03,59.2,-67.6,100.51,2.28,-4.3,Upgrade
Free Cash Flow,40.37,46.31,145.38,21.75,38.46,19.13,1.16,4.11,2.75,14.35,Upgrade
Free Cash Flow Growth,-12.82%,-68.14%,568.27%,-43.44%,101.09%,1543.13%,-71.67%,49.49%,-80.85%,27.62%,Upgrade
Free Cash Flow Margin,34.04%,45.30%,174.19%,25.32%,47.77%,28.44%,1.90%,7.05%,5.38%,30.28%,Upgrade
Free Cash Flow Per Share,2.38,2.71,8.45,1.33,2.47,1.54,0.10,0.46,0.33,1.71,Upgrade
