Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Net Income,30.02,24.01,13.04,11.58,11.01,8.72,7.69,7.1,6.35,7.12,Upgrade
Depreciation & Amortization,5.26,5.42,4.54,3.3,3.03,3.11,3.3,3.57,3.14,3.32,Upgrade
Share-Based Compensation,1.28,1.12,1.08,0.84,0.78,0.65,0.52,0.23,0.21,0.11,Upgrade
Other Operating Activities,12.87,-23.35,-18.36,10.07,-1.16,1.41,4.35,4.83,-1.8,12.5,Upgrade
Operating Cash Flow,49.43,7.2,0.3,25.79,13.65,13.89,15.86,15.73,7.9,23.06,Upgrade
Operating Cash Flow Growth,586.58%,2332.09%,-98.85%,88.91%,-1.71%,-12.43%,0.85%,99.10%,-65.75%,407.48%,Upgrade
Capital Expenditures,-4.42,-0.8,-1.2,-3.89,-3.56,-0.92,-1.48,-1.54,-2.97,-1.04,Upgrade
Acquisitions,0,-3.75,53,0,0,0,0,0,0,0,Upgrade
Change in Investments,-112.03,-299.53,-205.98,-29.17,-115.02,-73.28,-57.46,-74.46,-38.11,-46.63,Upgrade
Other Investing Activities,1.06,0.84,-10.06,-0.94,1.46,4.35,0.77,1.38,1.15,1.48,Upgrade
Investing Cash Flow,-115.39,-303.24,-164.24,-34,-117.12,-69.84,-58.16,-74.62,-39.93,-46.19,Upgrade
Dividends Paid,-7.71,-6.61,-5.38,-4.04,-3.4,-2.95,-3.06,-2.84,-2.09,-1.6,Upgrade
Share Issuance / Repurchase,-1.03,0.26,0.22,0.18,0.16,0.53,0.13,0.2,0.18,0.47,Upgrade
Debt Issued / Paid,10.06,-21.83,-55.47,-55.23,68.36,35.48,-23.98,14.24,-10.67,0.59,Upgrade
Other Financing Activities,-3.15,351.74,278.26,65.48,40,12.88,82.78,33.73,57.25,15.04,Upgrade
Financing Cash Flow,-1.83,323.58,217.63,6.39,105.13,45.94,55.87,45.33,44.67,14.5,Upgrade
Net Cash Flow,-67.79,27.53,53.68,-1.82,1.66,-10.02,13.57,-13.57,12.63,-8.63,Upgrade
Free Cash Flow,45.01,6.4,-0.91,21.9,10.09,12.97,14.38,14.18,4.93,22.02,Upgrade
Free Cash Flow Growth,603.47%,-,-,117.11%,-22.25%,-9.82%,1.43%,187.76%,-77.62%,758.56%,Upgrade
Free Cash Flow Margin,51.84%,8.19%,-1.69%,53.64%,26.40%,37.32%,44.79%,47.36%,17.46%,76.26%,Upgrade
Free Cash Flow Per Share,7.99,1.13,-0.18,5.79,2.68,3.48,3.91,3.88,1.36,6.19,Upgrade
