Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,-21.47,16.14,11.99,10.81,9.33,7.92,6.34,3.66,4.39,3.84
Depreciation & Amortization,1.1,1.03,1.09,1.39,0.91,0.81,0.83,0.71,0.77,0.65
Share-Based Compensation,3.15,3.96,1.93,2.07,1.54,1.44,0.47,0.3,0,0
Other Operating Activities,39.13,3.19,3.18,3.24,4.97,-0.69,0.97,2.15,2.49,-1.98
Operating Cash Flow,21.91,24.31,18.18,17.51,16.75,9.48,8.61,6.82,7.65,2.51
Operating Cash Flow Growth,-9.90%,33.73%,3.84%,4.50%,76.80%,10.08%,26.24%,-10.84%,205.31%,-
Capital Expenditures,-0.26,-0.41,-0.91,-6.16,-2.4,-3.43,-0.87,-1.81,-0.58,-0.54
Acquisitions,0,0,0,0.37,0,0,0,0,0,0
Change in Investments,34.26,-5.24,-56.33,13.58,-0.8,45.07,-5.81,-77.9,-42.76,-35.15
Other Investing Activities,-56.34,-150.07,-303.22,-124.42,-91.64,-112.6,-54.87,4.75,3.44,-23.29
Investing Cash Flow,-22.34,-155.72,-360.45,-116.63,-94.84,-70.96,-61.55,-74.96,-39.9,-58.98
Dividends Paid,-1.99,-2.56,-1.64,0,0,0,0,0,0,0
Share Issuance / Repurchase,-3.08,-19.2,-7.96,91.39,-0.22,-0.59,0,37.63,0,0
Debt Issued / Paid,113.33,0,-11.5,-43.02,41.18,-23.02,-7.57,18.19,-1.75,-8.47
Other Financing Activities,-180.31,222.47,387.52,81.81,18.04,122.08,50.75,23.24,28.21,56.95
Financing Cash Flow,-72.05,200.7,366.43,130.17,59.01,98.46,43.18,79.05,26.46,48.48
Net Cash Flow,-72.49,69.3,24.16,31.05,-19.08,36.98,-9.76,10.91,-5.8,-7.99
Free Cash Flow,21.64,23.9,17.27,11.35,14.36,6.05,7.74,5.01,7.07,1.97
Free Cash Flow Growth,-9.45%,38.40%,52.19%,-20.95%,137.27%,-21.78%,54.55%,-29.23%,259.17%,-
Free Cash Flow Margin,87.44%,38.11%,32.95%,26.91%,37.80%,15.48%,25.92%,19.05%,30.18%,8.57%
Free Cash Flow Per Share,1.31,1.43,0.95,0.63,0.77,0.33,0.42,0.26,0.37,-
