Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,-1.79,8.57,-0.05,-0.31,-5.75,-20.59,2.58,4.6,4
Depreciation & Amortization,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01
Share-Based Compensation,0.13,0.06,0.03,0.04,0.13,0.13,0.12,0.12,0
Other Operating Activities,0.83,-8.89,-0.26,-4.11,-1.03,-5.87,-2.31,3.39,4.67
Operating Cash Flow,-0.83,-0.25,-0.27,-4.37,-6.63,-26.31,0.42,8.13,8.68
Operating Cash Flow Growth,-,-,-,-,-,-,-94.88%,-6.37%,-
Capital Expenditures,0,-0,-0.01,-0,0,-0.01,-0.01,-0.04,-0.06
Change in Investments,-0.66,-1.8,0.12,0.49,5.05,4.67,6.88,-1.92,-29.24
Investing Cash Flow,-0.66,-1.81,0.11,0.49,5.05,4.67,6.87,-1.95,-29.3
Dividends Paid,0,0,0,0,0,-2.09,-2.89,-2.91,-1.71
Share Issuance / Repurchase,0,0,0,0,0,-1.06,-0.74,0,26.95
Debt Issued / Paid,0,0,-0.38,0.6,2,0,0,0,0
Financing Cash Flow,0,0,-0.38,0.6,2,-3.15,-3.63,-2.91,25.24
Net Cash Flow,-1.49,-2.06,-0.54,-3.28,0.41,-24.8,3.66,3.27,4.62
Free Cash Flow,-0.83,-0.26,-0.28,-4.37,-6.63,-26.32,0.41,8.09,8.62
Free Cash Flow Growth,-,-,-,-,-,-,-94.99%,-6.15%,-
Free Cash Flow Margin,-97.53%,-2.50%,-23.06%,-445.67%,-174.46%,-110.38%,2.12%,126.80%,155.06%
Free Cash Flow Per Share,-0.14,-0.04,-0.05,-0.76,-1.16,-4.53,0.07,1.34,1.77
