Year,2022,2021,2020,2019,2018
Net Income,66.62,146.08,-90.72,-111.94,-44.1
Depreciation & Amortization,1.92,1.67,1.77,0.11,0.08
Share-Based Compensation,5.45,3.82,2.83,1.98,2.53
Other Operating Activities,33.44,-56.41,117.61,-22.87,-2.29
Operating Cash Flow,107.43,95.16,24.64,41.76,28.6
Operating Cash Flow Growth,12.90%,286.19%,-41.00%,46.02%,-
Capital Expenditures,-0.62,-1.99,-1.2,-0.1,-0.11
Investing Cash Flow,-0.62,-1.99,-1.2,-0.1,-0.11
Share Issuance / Repurchase,-18.02,-20,-37.5,0,0
Debt Issued / Paid,0.43,-20.86,153.42,-2.5,-2.5
Other Financing Activities,-0.21,-36.95,-45.11,-42.4,-18.88
Financing Cash Flow,-17.8,-77.81,70.81,-44.9,-21.38
Net Cash Flow,89.01,15.36,94.25,-3.24,7.12
Free Cash Flow,106.81,93.17,23.44,41.66,28.5
Free Cash Flow Growth,14.64%,297.41%,-43.73%,46.21%,-
Free Cash Flow Margin,59.47%,43.20%,21.53%,44.87%,54.60%
Free Cash Flow Per Share,0.85,0.74,0.28,1.11,0.76
