Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,103.82,95.73,84.34,87.05,80.41,57.33,52.08,46.37,43.81,38.84,Upgrade
Depreciation & Amortization,6.02,6.11,6.04,5.93,5.65,5.12,4.23,3.76,3.41,3.04,Upgrade
Share-Based Compensation,7.3,6.83,1.72,3.66,4.85,4.73,3.54,2.39,2.75,1.82,Upgrade
Other Operating Activities,52.21,5.1,-4.87,3.4,14.06,10.06,2.35,3.27,4.41,19.27,Upgrade
Operating Cash Flow,169.34,113.77,87.23,100.04,104.98,77.24,62.2,55.78,54.38,62.97,Upgrade
Operating Cash Flow Growth,48.85%,30.43%,-12.81%,-4.70%,35.90%,24.19%,11.51%,2.57%,-13.63%,24.46%,Upgrade
Capital Expenditures,-4.82,-6.16,-5.06,-7.98,-7.51,-9.57,-9.8,-8.47,-6.33,-7.5,Upgrade
Change in Investments,-610.9,-325.62,-697.84,-156.64,-159.08,-385.9,-429.62,-328.75,-229.74,-304.88,Upgrade
Other Investing Activities,-10.81,0.23,-9.12,-4.07,0.15,-0.58,-3.03,-1.89,-2.4,-0.14,Upgrade
Investing Cash Flow,-626.52,-331.55,-712.02,-168.69,-166.44,-396.05,-442.45,-339.11,-238.47,-312.52,Upgrade
Dividends Paid,-40.84,-34.64,-30.57,-29.64,-25.28,-21.4,-18.2,-15.7,-13.56,-9.37,Upgrade
Share Issuance / Repurchase,-0.36,-0.44,-10.43,-0.4,-0.35,-0.5,0.16,-0.44,-0.39,0.5,Upgrade
Debt Issued / Paid,222,-10.5,-84.5,-106.48,94.87,-79.4,90.42,-20.79,-101.47,124.99,Upgrade
Other Financing Activities,-276.58,696.68,900.84,87.63,32.96,428.99,394.48,310.29,327.04,-35.7,Upgrade
Financing Cash Flow,-95.78,651.09,775.34,-48.89,102.21,327.71,466.86,273.36,211.63,80.42,Upgrade
Net Cash Flow,-552.96,433.31,150.55,-117.54,40.74,8.9,86.61,-9.96,27.53,-169.13,Upgrade
Free Cash Flow,164.53,107.61,82.17,92.06,97.47,67.67,52.4,47.32,48.05,55.46,Upgrade
Free Cash Flow Growth,52.89%,30.96%,-10.74%,-5.55%,44.03%,29.14%,10.75%,-1.53%,-13.37%,16.28%,Upgrade
Free Cash Flow Margin,69.90%,48.53%,42.12%,46.77%,52.64%,40.06%,34.89%,34.43%,36.30%,45.77%,Upgrade
Free Cash Flow Per Share,6.45,4.22,3.23,3.60,3.85,2.69,2.09,1.90,1.94,2.25,Upgrade
