Year,2022,2021,2020,2019
Net Income,44.8,42.44,35.93,29.3
Depreciation & Amortization,1.64,0.61,0.46,0.43
Share-Based Compensation,1.1,1.44,0.57,0.73
Other Operating Activities,-1.56,-15.83,14.52,-1.56
Operating Cash Flow,45.98,28.66,51.48,28.91
Operating Cash Flow Growth,60.43%,-44.33%,78.08%,-
Capital Expenditures,-0.48,-0.72,-0.83,-0.51
Change in Investments,-833.39,-451.99,-370.8,-224.86
Other Investing Activities,-3.05,-2.3,-1,-5
Investing Cash Flow,-836.92,-455.01,-372.63,-230.37
Dividends Paid,-15.3,-51.94,-26.37,-26.28
Share Issuance / Repurchase,0,111.24,13.4,22.72
Debt Issued / Paid,144.8,0,-25,28.74
Other Financing Activities,496.11,501.89,472.25,150.36
Financing Cash Flow,625.61,561.19,434.28,175.54
Net Cash Flow,-165.34,134.84,113.13,-25.93
Free Cash Flow,45.49,27.94,50.64,28.4
Free Cash Flow Growth,62.83%,-44.83%,78.34%,-
Free Cash Flow Margin,43.94%,33.59%,77.30%,53.64%
Free Cash Flow Per Share,2.64,1.62,3.11,-
