Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,80.2,87.75,39.91,48.86,45.06,69.38,52.12,35.39
Depreciation & Amortization,2.95,2.56,2.69,2.62,2.81,2.9,2.87,2.29
Share-Based Compensation,2.74,2.53,3.54,2.99,4.36,0.59,0,0
Other Operating Activities,-0.97,13.88,18.87,23.3,6.73,5.54,-24.83,-24.23
Operating Cash Flow,84.92,106.72,65,77.77,58.96,78.41,30.16,13.45
Operating Cash Flow Growth,-20.42%,64.18%,-16.41%,31.90%,-24.81%,159.99%,124.27%,-
Capital Expenditures,-0.52,-0.43,-1.41,-2.26,-1.48,-1.06,-3.02,-8.46
Change in Investments,-759.23,-337.36,215.8,-120.51,"-1,226.81",-626.12,-673,-438.76
Investing Cash Flow,-759.75,-337.79,214.39,-122.77,"-1,228.29",-627.17,-676.01,-447.22
Dividends Paid,-24.63,-18.45,-12.31,-13.03,-15.96,-67.8,-16.8,-11.8
Share Issuance / Repurchase,-9.73,-8.84,-36.14,-8.79,-1.5,138.29,0,0
Debt Issued / Paid,456.5,-55.1,-171.96,-164.43,153.87,-122.63,443.58,390.58
Other Financing Activities,300.17,273.01,28.55,230.88,"1,049.03",617.27,212.72,-24.53
Financing Cash Flow,722.31,190.62,-191.86,44.63,"1,185.45",565.13,639.5,354.25
Net Cash Flow,47.48,-40.45,87.54,-0.37,16.12,16.37,-6.35,-79.52
Free Cash Flow,84.4,106.29,63.6,75.51,57.48,77.36,27.15,4.99
Free Cash Flow Growth,-20.59%,67.13%,-15.77%,31.35%,-25.69%,184.98%,444.10%,-
Free Cash Flow Margin,47.48%,58.03%,48.70%,57.27%,45.76%,63.53%,23.57%,5.04%
Free Cash Flow Per Share,1.65,2.06,1.21,1.35,1.02,1.80,0.65,0.12
