Year,2022,2021,2020,2019,2018,2017
Net Income,-31.19,-107.67,-21.49,-25.38,-27.52,-75.71
Depreciation & Amortization,46.22,40.37,13.52,3.78,3.08,3.56
Share-Based Compensation,8.16,11.36,35.88,94.96,0.97,0.81
Other Operating Activities,-108.26,-119.97,106.56,4.39,59.65,7.45
Operating Cash Flow,-85.07,-175.92,137.67,118.02,66.85,-85.35
Operating Cash Flow Growth,-,-,16.64%,76.54%,-,-
Capital Expenditures,-15.78,-37.08,-8.2,-5.98,-1.05,-2.4
Acquisitions,-22.32,-14.29,-0.57,0,0,0
Change in Investments,-19.3,-29.79,-22.45,-2,-2.5,60.16
Other Investing Activities,1.11,0.24,0.14,1.05,-,-
Investing Cash Flow,-56.29,-80.93,-31.08,-6.93,-3.55,57.77
Share Issuance / Repurchase,-6.66,-2.51,338.92,0,0,0
Debt Issued / Paid,-97.32,143.5,44.13,-14.08,48.57,23.21
Other Financing Activities,2.85,0.9,-,-,-,-0.22
Financing Cash Flow,-101.13,141.89,383.05,-14.08,48.57,22.99
Net Cash Flow,-232.9,-119.96,479.62,97.06,111.99,-4.83
Free Cash Flow,-100.84,-213,129.47,112.05,65.8,-87.74
Free Cash Flow Growth,-,-,15.55%,70.29%,-,-
Free Cash Flow Margin,-8.71%,-9.49%,10.61%,11.28%,12.93%,-33.32%
Free Cash Flow Per Share,-1.97,-4.17,2.69,4.95,2.96,-3.94
