Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2009
Net Income,"1,225","2,974.7",348.2,345.3,92.9,244.1,6.4,-18.4,85.8,104.1,Upgrade
Depreciation & Amortization,147.4,52,52.1,65.6,46.9,41.3,72,322.8,192.1,163.6,Upgrade
Share-Based Compensation,154,163.1,105,140,239.9,320.3,334.6,374,341.3,320.5,Upgrade
Other Operating Activities,"-1,905.7","-1,398.8",-674.5,-994.8,-925.3,"-1,303.6",-681.5,"3,343.8","1,682.7","1,838.4",Upgrade
Operating Cash Flow,-379.3,"1,791",-169.2,358.6,-343.5,-7.1,-300.6,"3,902.8","2,645.7","2,994.3",Upgrade
Operating Cash Flow Growth,-,-,-,-,-,-,-,47.51%,-11.64%,47.62%,Upgrade
Capital Expenditures,-40.6,-41.4,-61.2,-27.8,-31.3,-34,-25.4,-62.3,-29.7,-29.5,Upgrade
Acquisitions,-150.2,9.2,0,0,-67.8,0,0,0,-3.1,-10.2,Upgrade
Change in Investments,-638,0,0,0,0,0,0,0,0,0,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,40.8,69.8,-95.4,Upgrade
Investing Cash Flow,-828.8,-32.2,-61.2,-27.8,-99.1,-34,-25.4,-21.5,37,-135.1,Upgrade
Dividends Paid,-443.6,-355.8,-351.3,-154.9,-129.8,-118.1,-140.9,-251,-102.7,-59.9,Upgrade
Share Issuance / Repurchase,-146.7,-157,-26.4,-34.5,-107.5,-0.2,-58.9,209.9,449.5,0,Upgrade
Debt Issued / Paid,680.7,286.3,685,652,792.7,376.8,571.3,669,-857,"-1,551.5",Upgrade
Other Financing Activities,24.4,-16,63,-611.8,-483.4,60.1,-356.2,"-4,639.1","-1,783.2",-892.3,Upgrade
Financing Cash Flow,114.8,-242.5,370.3,-149.2,72,318.6,15.3,"-4,011.2","-2,293.4","-2,503.7",Upgrade
Net Cash Flow,"-1,113.6","1,485.5",161.6,189.7,-390.5,344.8,-326.4,-250.5,275.4,399.5,Upgrade
Free Cash Flow,-419.9,"1,749.6",-230.4,330.8,-374.8,-41.1,-326,"3,840.5","2,616","2,964.8",Upgrade
Free Cash Flow Growth,-,-,-,-,-,-,-,46.81%,-11.76%,48.56%,Upgrade
Free Cash Flow Margin,-9.46%,19.92%,-7.85%,9.80%,-15.44%,-1.12%,-14.33%,127.75%,67.42%,66.76%,Upgrade
Free Cash Flow Per Share,-1.16,4.92,-0.66,2.92,-3.60,-0.45,-3.94,51.53,41.66,64.26,Upgrade
